Unique ID,Street address,City,State,ZIP
129975,"6326 MEMPHIS ST, NEW ORLEANS",,,
129976,"6326 MEMPHIS ST, NEW ORLEANS",,,
129977,"6326 MEMPHIS ST, NEW ORLEANS",,,
129978,"6326 MEMPHIS ST, NEW ORLEANS",,,
129979,"6326 MEMPHIS ST, NEW ORLEANS",,,
129980,"6326 MEMPHIS ST, NEW ORLEANS",,,
129981,"6326 MEMPHIS ST, NEW ORLEANS",,,
129982,"6326 MEMPHIS ST, NEW ORLEANS",,,
129983,"721 ST PHILLIP ST, NEW ORLEANS",,,
129984,"721 ST PHILLIP ST, NEW ORLEANS",,,
129985,"721 ST PHILLIP ST, NEW ORLEANS",,,
129986,"1423 ST PHILIP ST, NEW ORLEANS",,,
129987,"1325 GOV NICHOLLS ST, NEW ORLEANS",,,
129988,"2011 BIENVILLE ST, NEW ORLEANS",,,
129989,"2011 BIENVILLE ST, NEW ORLEANS",,,
129990,"3019 CANAL ST, NEW ORLEANS",,,
129991,"3019 CANAL ST, NEW ORLEANS",,,
129992,"3019 CANAL ST, NEW ORLEANS",,,
129993,"964 N CARROLLTON AVE, NEW ORLEANS",,,
129994,"964 N CARROLLTON AVE, NEW ORLEANS",,,
129995,"4217 ORLEANS AVE, NEW ORLEANS",,,
129996,"4217 ORLEANS AVE, NEW ORLEANS",,,
129997,"6645 SPANISH FORT BLVD, NEW ORLEANS",,,
129998,"6645 SPANISH FORT BLVD, NEW ORLEANS",,,
129999,"721 ST PHILLIP ST, NEW ORLEANS",,,
130000,"1130 N RAMPART ST, NEW ORLEANS",,,
130001,"1423 ST PHILLIP ST, NEW ORLEANS",,,
130002,"1923 ST PHILLIP ST, NEW ORLEANS",,,
130003,"2426 ESPLANADE AVE, NEW ORLEANS",,,
130004,"1342 MOSS ST, NEW ORLEANS",,,
130005,"1342 MOSS ST, NEW ORLEANS",,,
130006,"449 ESPLANADE AVE, NEW ORLEANS",,,
130007,"449 ESPLANADE AVE, NEW ORLEANS",,,
130008,"1331 KERLEREC ST, NEW ORLEANS",,,
130009,"1331 KERLEREC ST, NEW ORLEANS",,,
130010,"1331 KERLEREC ST, NEW ORLEANS",,,
130011,"2118 ELYSIAN FIELDS AVE, NEW ORLEANS",,,
130012,"2118 ELYSIAN FIELDS AVE, NEW ORLEANS",,,
130013,"2118 ELYSIAN FIELDS AVE, NEW ORLEANS",,,
130014,"2118 ELYSIAN FIELDS AVE, NEW ORLEANS",,,
130015,"2949 ST BERNARD AVE, NEW ORLEANS",,,
130016,"2733 ESPLANADE AVE, NEW ORLEANS",,,
130017,"2949 ST BERNARD AVE, NEW ORLEANS",,,
130018,"1651 N TONTI ST, NEW ORLEANS",,,
130019,"1651 N TONTI ST, NEW ORLEANS",,,
130020,"2949 ST BERNARD AVE, NEW ORLEANS",,,
130021,"2733 ESPLANADE AVE, NEW ORLEANS",,,
130022,"2949 ST BERNARD AVE, NEW ORLEANS",,,
130023,"2949 ST BERNARD AVE, NEW ORLEANS",,,
130024,"2118 ELYSIAN FIELDS AVE, NEW ORLEANS",,,
130025,"2949 ST BERNARD AVE, NEW ORLEANS",,,
130026,"3001 GENTILLY BLVD, NEW ORLEANS",,,
130027,"3001 GENTILLY BLVD, NEW ORLEANS",,,
130028,"4200 MARIGNY ST, NEW ORLEANS",,,
130029,"4200 MARIGNY ST, NEW ORLEANS",,,
130030,"3001 GENTILLY BLVD, NEW ORLEANS",,,
130031,"1400 SERE ST, NEW ORLEANS",,,
130032,"1400 SERE ST, NEW ORLEANS",,,
130033,"1510 HARRISON AVE, NEW ORLEANS",,,
130034,"6026 PARIS AVE, NEW ORLEANS",,,
130035,"6026 PARIS AVE, NEW ORLEANS",,,
130036,"6026 PARIS AVE, NEW ORLEANS",,,
130037,"6026 PARIS AVE, NEW ORLEANS",,,
130038,"6026 PARIS AVE, NEW ORLEANS",,,
130039,"2001 LEON C SIMON DR, NEW ORLEANS",,,
130040,"2001 LEON C SIMON DR, NEW ORLEANS",,,
130041,"2001 LEON C SIMON DR, NEW ORLEANS",,,
130042,"2001 LEON C SIMON DR, NEW ORLEANS",,,
130043,"6026 PARIS AVE, NEW ORLEANS",,,
130044,"6327 CARTIER DR, NEW ORLEANS",,,
130045,"6308 CARLSON DR, NEW ORLEANS",,,
