Unique ID,Street address,City,State,ZIP
219957,"217 W MAIN ST FRANKFORD, 63441",,,
219958,"120 N 5TH LOUISIANA, 63353",,,
219959,"120 N 5TH LOUISIANA, 63353",,,
219960,"120 N 5TH LOUISIANA, 63353",,,
219961,"120 N 5TH ST LOUISIANA, 63353",,,
219962,"120 N 5TH ST LOUISIANA, 63353",,,
219963,"120 N 5TH ST LOUISIANA, 63353",,,
219964,"120 N 5TH ST LOUISIANA, 63353",,,
219965,"120 N 5TH ST LOUISIANA, 63353",,,
219966,"420 KELLY LN LOUISIANA, 63353",,,
219967,"420 KELLY LN LOUISIANA, 63353",,,
219968,"420 KELLY LN LOUISIANA, 63353",,,
219969,"420 KELLY LN LOUISIANA, 63353",,,
219970,"420 KELLY LN LOUISIANA, 63353",,,
219971,"420 KELLY LN LOUISIANA, 63353",,,
219972,"420 KELLY LN LOUISIANA, 63353",,,
219973,"420 KELLY LN LOUISIANA, 63353",,,
219974,"420 KELLY LN LOUISIANA, 63353",,,
219975,"420 KELLY LN LOUISIANA, 63353",,,
219976,"420 KELLY LN LOUISIANA, 63353",,,
219977,"420 KELLY LN LOUISIANA, 63353",,,
219978,"201 W LOCUST BOWLING GREEN, 63334",,,
219979,"201 W LOCUST BOWLING GREEN, 63334",,,
219980,"807 S COURT BOWLING GREEN, 63334",,,
219981,"113 MARMAC DR CLARKSVILLE, 63336",,,
219982,"113 MARMAC DR CLARKSVILLE, 63336",,,
219983,"113 MARMAC DR CLARKSVILLE, 63336",,,
219984,"113 MARMAC DR CLARKSVILLE, 63336",,,
219985,"113 MARMAC DR CLARKSVILLE, 63336",,,
219986,"113 MARMAC DR CLARKSVILLE, 63336",,,
219987,"113 MARMAC DR CLARKSVILLE, 63336",,,
219988,"113 MARMAC DR CLARKSVILLE, 63336",,,
219989,"100 COMMUNITY LN EOLIA, 63344",,,
219990,"100 COMMUNITY LN EOLIA, 63344",,,
219991,"100 COMMUNITY LN EOLIA, 63344",,,
219992,"113 MARMAC DR CLARKSVILLE, 63336",,,
219993,"4498 NW HIGH DR RIVERSIDE, 64150",,,
219994,"4498 NW HIGH DR RIVERSIDE, 64150",,,
219995,"4498 NW HIGH DR RIVERSIDE, 64150",,,
219996,"4498 NW HIGH DR RIVERSIDE, 64150",,,
219997,"8350 N CONANT AVE KANSAS CITY, 64152",,,
219998,"8350 N CONANT AVE KANSAS CITY, 64152",,,
219999,"4498 NW HIGH DR RIVERSIDE, 64150",,,
220000,"4498 NW HIGH DR RIVERSIDE, 64150",,,
220001,"4498 NW HIGH DR RIVERSIDE, 64150",,,
220002,"6120 NW PRAIRIE VIEW RD KANSAS CITY, 64151",,,
220003,"6120 NW PRAIRIE VIEW RD KANSAS CITY, 64151",,,
220004,"819 MAIN ST PARKVILLE, 64152",,,
220005,"819 MAIN ST PARKVILLE, 64152",,,
220006,"819 MAIN ST PARKVILLE, 64152",,,
220007,"819 MAIN ST PARKVILLE, 64152",,,
220008,"819 MAIN ST PARKVILLE, 64152",,,
220009,"819 MAIN ST PARKVILLE, 64152",,,
220010,"819 MAIN ST PARKVILLE, 64152",,,
220011,"819 MAIN ST PARKVILLE, 64152",,,
220012,"819 MAIN ST PARKVILLE, 64152",,,
220013,"819 MAIN ST PARKVILLE, 64152",,,
220014,"819 MAIN ST PARKVILLE, 64152",,,
220015,"819 MAIN ST PARKVILLE, 64152",,,
220016,"819 MAIN ST PARKVILLE, 64152",,,
220017,"819 MAIN ST PARKVILLE, 64152",,,
220018,"819 MAIN ST PARKVILLE, 64152",,,
220019,"819 MAIN ST PARKVILLE, 64152",,,
220020,"819 MAIN ST PARKVILLE, 64152",,,
220021,"819 MAIN ST PARKVILLE, 64152",,,
220022,"5502 CLUBHOUSE COVE PARKVILLE, 64152",,,
220023,"5502 CLUBHOUSE COVE PARKVILLE, 64152",,,
220024,"5502 CLUBHOUSE COVE PARKVILLE, 64152",,,
220025,"5502 CLUBHOUSE COVE PARKVILLE, 64152",,,
220026,"6520 NW 64TH ST KANSAS CITY, 64152",,,
220027,"7310 NW PRAIRIE VIEW RD KANSAS CITY, 64151",,,
220028,"7310 NW PRAIRIE VIEW RD KANSAS CITY, 64151",,,
220029,"7310 NW PRAIRIE VIEW RD KANSAS CITY, 64151",,,
220030,"1147 SOUTH SHORE DR LAKE WAUKOMIS, 64151",,,
220031,"1147 SOUTH SHORE DR LAKE WAUKOMIS, 64151",,,
220032,"1147 SOUTH SHORE DR LAKE WAUKOMIS, 64151",,,
220033,"1147 SOUTH SHORE DR LAKE WAUKOMIS, 64151",,,
220034,"1147 SOUTH SHORE DR LAKE WAUKOMIS, 64151",,,
220035,"8230 NW POTOMAC AVE WEATHERBY LAKE, 64152",,,
220036,"8230 NW POTOMAC AVE WEATHERBY LAKE, 64152",,,
220037,"8230 NW POTOMAC AVE WEATHERBY LAKE, 64152",,,
220038,"8230 NW POTOMAC AVE WEATHERBY LAKE, 64152",,,
220039,"8230 NW POTOMAC AVE WEATHERBY LAKE, 64152",,,
220040,"8230 NW POTOMAC AVE WEATHERBY LAKE, 64152",,,
220041,"5700 NW 82ND ST KANSAS CITY, 64151",,,
220042,"5700 NW 82ND ST KANSAS CITY, 64151",,,
220043,"98 MAIN ST FARLEY, 64028",,,
220044,"98 MAIN ST FARLEY, 64028",,,
220045,"98 MAIN ST FARLEY, 64028",,,
220046,"98 MAIN ST FARLEY, 64028",,,
220047,"98 MAIN ST FARLEY, 64028",,,
220048,"7310 NW HAMPTON RD KANSAS CITY, 64152",,,
220049,"7310 NW HAMPTON RD KANSAS CITY, 64152",,,
220050,"7310 NW HAMPTON RD KANSAS CITY, 64152",,,
220051,"7310 NW HAMPTON RD KANSAS CITY, 64152",,,
220052,"7310 NW HAMPTON RD KANSAS CITY, 64152",,,
220053,"7310 NW HAMPTON RD KANSAS CITY, 64152",,,
220054,"7310 NW HAMPTON RD KANSAS CITY, 64152",,,
