Unique ID,Street address,City,State,ZIP
29995,"4814 PAPER MILL RD, MARIETTA, GA 30067",,,
29996,"805 CLAY RD., MABLETON, GA 30126",,,
29997,"2700 JIMS RD, MARIETTA, GA 30066",,,
29998,"3732 MACLAND RD, POWDER SPRINGS, GA 30127",,,
29999,"2922 SANDY PLAINS RD, MARIETTA, GA 30066",,,
30000,"1083 ALLGOOD RD NE, MARIETTA, GA 30062",,,
30001,"548 SOUTH MARIETTA PKWY, MARIETTA, GA 30060",,,
30002,"1171 WHITLOCK AVE, MARIETTA, GA 30064",,,
30003,"340 AVIATION RD, MARIETTA, GA 30060",,,
30004,"3737 DALLAS ACWORTH HIGHWAY NW, ACWORTH, GA 30101",,,
30005,"2753 WATTS DR., KENNESAW, GA 30144",,,
30006,"4080 MAYBREEZE RD, MARIETTA, GA 30066",,,
30007,"4665 MACLAND RD, POWDER SPRINGS, GA 30127",,,
30008,"4075 MACLAND RD, POWDER SPRINGS, GA 30127",,,
30009,"1030 MILFORD CHURCH RD, MARIETTA, GA 30060",,,
30010,"4385 LOWER ROSWELL RD, MARIETTA, GA 30068",,,
30011,"287 MT CALVARY RD, MARIETTA, GA 30064",,,
30012,"1770 JOHNSON FERRY RD, MARIETTA, GA 30062",,,
30013,"2320 MURDOCK RD, MARIETTA, GA 30062",,,
30014,"4220 CANTRELL RD, ACWORTH, GA 30101",,,
30015,"5083 HIRAM LITHIA SPRINGS RD, POWDER SPRINGS, GA 30127",,,
30016,"5145 DUE WEST RD, POWDER SPRINGS, GA 30127",,,
30017,"50 VETERANS MEM. HWY, MABLETON, GA 30126",,,
30018,"285 SOUTH GORDON RD, MABLETON, GA 30126",,,
30019,"1599 SHALLOWFORD RD NE, MARIETTA, GA 30066",,,
30020,"4555 MAVELL RD, SMYRNA, GA 30082",,,
30021,"4121 CANTON RD, MARIETTA, GA 30066",,,
30022,"3206 OLD HIGHWAY 41 NW, KENNESAW, GA 30144",,,
30023,"3905 POST OAK TRITT RD., MARIETTA, GA 30062",,,
30024,"3413 BLUE SPRINGS ROAD, ACWORTH, GA 30101",,,
30025,"3269 OLD CONCORD RD SE, SMYRNA, GA 30082",,,
30026,"545 LORENE DR, MARIETTA, GA 30060",,,
