Unique ID,Street address,City,State,ZIP
359929,"1300 W JEFFERSON ST, PHILADELPHIA, PA",,,
359930,"12TH ST & SUSQUEHANNA AVE, PHILADELPHIA, PA 191",,,
359931,"1701 N 08TH ST, PHILADELPHIA, PA",,,
359932,"1915 N 11TH ST, PHILADELPHIA, PA",,,
359933,"8TH & DIAMOND STS, PHILADELPHIA, PA",,,
359934,"10TH & OXFORD STS, PHILADELPHIA, PA",,,
359935,"3815 TERRACE ST, PHILADELPHIA, PA",,,
359936,"3815 TERRACE ST, PHILADELPHIA, PA",,,
359937,"7901 HENRY AVE, PHILADELPHIA, PA",,,
359938,"7 LOCK ST, PHILADELPHIA, PA 19127",,,
359939,"SHAWMONT AVE & EVA ST, PHILADELPHIA, PA",,,
359940,"175 GREEN LA, PHILADELPHIA, PA 19127",,,
359941,"175 GREEN LA, PHILADELPHIA, PA 191",,,
359942,"201 FOUNTAIN ST, PHILADELPHIA, PA",,,
359943,"201 FOUNTAIN ST, PHILADELPHIA, PA",,,
359944,"403 RECTOR ST, PHILADELPHIA, PA",,,
359945,"235 COTTON ST, PHILADELPHIA, PA",,,
359946,"175 GREEN LA, PHILADELPHIA, PA 191",,,
359947,"201 FOUNTAIN ST, PHILADELPHIA, PA 19127",,,
359948,"RIGHTER & SALAIGNAC STS, PHILADELPHIA, PA 1",,,
359949,"5301 RIDGE AVE, PHILADELPHIA, PA",,,
359950,"RIGHTER & SALAIGNAC STS, PHILADELPHIA, PA",,,
359951,"403 RECTOR ST, PHILADELPHIA, PA",,,
359952,"403 RECTOR ST, PHILADELPHIA, PA",,,
359953,"401 MARTIN ST, PHILADELPHIA, PA",,,
359954,"401 MARTIN ST, PHILADELPHIA, PA 191",,,
359955,"6400 RIDGE AVE, PHILADELPHIA, PA 191",,,
359956,"RIDGE AVE & CINNAMINSON ST, PHILADELPHIA, PA 191",,,
359957,"5450 WISSAHICKON AVE, PHILADELPHIA, PA 191",,,
359958,"800 W WALNUT LA, PHILADELPHIA, PA 191",,,
359959,"RIDGE AVE & JAMESTOWN ST, PHILADELPHIA, PA 191",,,
359960,"RIDGE AVE & JAMESTOWN ST, PHILADELPHIA, PA",,,
359961,"401 MARTIN ST, PHILADELPHIA, PA",,,
359962,"6400 RIDGE AVE, PHILADELPHIA, PA 191",,,
359963,"6730 RIDGE AVE, PHILADELPHIA, PA 19128",,,
359964,"SHAWMONT AVE & EVA ST, PHILADELPHIA, PA 191",,,
359965,"6400 RIDGE AVE, PHILADELPHIA, PA",,,
359966,"7100 HENRY AVE, PHILADELPHIA, PA",,,
359967,"600 E CATHEDRAL RD, PHILADELPHIA, PA",,,
359968,"WISSAHICKON AVE & GRAKYN LA, PHILADELPHIA, PA 191",,,
359969,"RIGHTER & SALAIGNAC STS, PHILADELPHIA, PA",,,
359970,"RIDGE AVE & JAMESTOWN ST, PHILADELPHIA, PA",,,
359971,"RIDGE AVE & JAMESTOWN ST, PHILADELPHIA, PA",,,
359972,"7100 HENRY AVE, PHILADELPHIA, PA",,,
359973,"8201 HENRY AVE, PHILADELPHIA, PA",,,
359974,"6730 RIDGE AVE, PHILADELPHIA, PA",,,
359975,"DOMINO LA & RIDGE AVE, PHILADELPHIA, PA",,,
359976,"SHAWMONT AVE & EVA ST, PHILADELPHIA, PA 19128",,,
359977,"705 E CATHEDRAL RD, PHILADELPHIA, PA",,,
359978,"WISSAHICKON AVE & GRAKYN LA, PHILADELPHIA, PA 191",,,
359979,"600 E CATHEDRAL RD, PHILADELPHIA, PA",,,
359980,"6757 GREENE ST, PHILADELPHIA, PA 191119",,,
359981,"6757 GREENE ST, PHILADELPHIA, PA 191",,,
359982,"6400 GREENE ST, PHILADELPHIA, PA",,,
359983,"400 W ELLET ST, PHILADELPHIA, PA",,,
359984,"400 W ELLET ST, PHILADELPHIA, PA",,,
359985,"6950 GERMANTOWN AVE, PHILADELPHIA, PA",,,
359986,"6753 GERMANTOWN AVE, PHILADELPHIA, PA",,,
359987,"220 W UPSAL ST, PHILADELPHIA, PA 1",,,
359988,"6671 GERMANTOWN AVE, PHILADELPHIA, PA",,,
359989,"220 W UPSAL ST, PHILADELPHIA, PA 1",,,
359990,"6950 GERMANTOWN AVE, PHILADELPHIA, PA 191",,,
359991,"PLEASANT ST & CHEW AVE, PHILADELPHIA, PA 191",,,
359992,"6671 GERMANTOWN AVE, PHILADELPHIA, PA",,,
359993,"6445 GERMANTOWN AVE, PHILADELPHIA, PA 191",,,
359994,"6415 MUSGRAVE ST, PHILADELPHIA, PA",,,
359995,"GERMANTOWN AVE & SEDGWICK ST, PHILADELPHIA, PA 191",,,
359996,"GERMANTOWN AVE & SEDGWICK ST, PHILADELPHIA, PA 191",,,
359997,"PLEASANT ST & CHEW AVE, PHILADELPHIA, PA 191",,,
359998,"PLEASANT ST & CHEW AVE, PHILADELPHIA, PA 191",,,
359999,"CHEW AVE & UPSAL ST, PHILADELPHIA, PA 191",,,
360000,"CHEW AVE & UPSAL ST, PHILADELPHIA, PA 191",,,
360001,"CHEW AVE & UPSAL ST, PHILADELPHIA, PA 191",,,
360002,"610 E MT PLEASANT AVE, PHILADELPHIA, PA",,,
360003,"610 E MT PLEASANT AVE, PHILADELPHIA, PA",,,
360004,"6900 STENTON AVE, PHILADELPHIA, PA 191",,,
360005,"CRITTENDEN & JOHNSON STS, PHILADELPHIA, PA 191",,,
360006,"CRITTENDEN & JOHNSON STS, PHILADELPHIA, PA 191",,,
360007,"CRITTENDON & JOHNSON STS, PHILADELPHIA, PA",,,
360008,"CRITTENDEN & JOHNSON STS, PHILADELPHIA, PA 191",,,
360009,"4442 FRANKFORD AVE, PHILADELPHIA, PA 191",,,
360010,"4442 FRANKFORD AVE, PHILADELPHIA, PA 191",,,
360011,"4442 FRANKFORD AVE, PHILADELPHIA, PA 191",,,
360012,"ARROTT & LARGE STS, PHILADELPHIA, PA",,,
360013,"4634 FRANKFORD AVE, PHILADELPHIA, PA 191",,,
360014,"4634 FRANKFORD AVE, PHILADELPHIA, PA",,,
360015,"4634 FRANKFORD AVE, PHILADELPHIA, PA",,,
360016,"ARROTT & LARGE STS, PHILADELPHIA, PA",,,
360017,"OXFORD AVE & WAKELING ST, PHILADELPHIA, PA 191",,,
360018,"LARGE & DYRE STS, PHILADELPHIA, PA 191",,,
360019,"4800 WHITAKER AVE, PHILADELPHIA, PA",,,
360020,"4800 WHITAKER AVE, PHILADELPHIA, PA",,,
360021,"LARGE & DYRE STS, PHILADELPHIA, PA 191",,,
360022,"4300 TACONY ST, PHILADELPHIA, PA 191",,,
360023,"TULIP & WAKELING STS, PHILADELPHIA, PA",,,
360024,"1655 UNITY ST, PHILADELPHIA, PA",,,
360025,"2006 ORTHODOX ST, PHILADELPHIA, PA 1",,,
360026,"1824 FOULKROD ST, PHILADELPHIA, PA",,,
360027,"DITMAN & WAKELING STS, PHILADELPHIA, PA",,,
360028,"DARRAH & FOULKROD STS, PHILADELPHIA, PA 191",,,
360029,"DARRAH & FOULKROD STS, PHILADELPHIA, PA 191",,,
360030,"1655 UNITY ST, PHILADELPHIA, PA 191",,,
360031,"1655 UNITY ST, PHILADELPHIA, PA 191",,,
360032,"36TH ST & POWELTON AVE, PHILADELPHIA, PA 191",,,
360033,"34TH ST & HAVERFORD AVE, PHILADELPHIA, PA 191",,,
360034,"34TH ST & HAVERFORD AVE, PHILADELPHIA, PA 191",,,
360035,"36TH ST & FAIRMOUNT AVE, PHILADELPHIA, PA 191",,,
360036,"36TH ST & POWELTON AVE, PHILADELPHIA, PA 191",,,
360037,"3901 MARKET ST, PHILADELPHIA, PA",,,
360038,"631 N 39TH ST, PHILADELPHIA, PA",,,
360039,"325 N 39TH ST, PHILADELPHIA, PA",,,
360040,"4015 POPLAR ST, PHILADELPHIA, PA",,,
360041,"25 N 33RD ST, PHILADELPHIA, PA",,,
360042,"34TH ST & HAVERFORD AVE, PHILADELPHIA, PA 191",,,
360043,"631 N 39TH ST, PHILADELPHIA, PA",,,
360044,"36TH ST & FAIRMOUNT AVE, PHILADELPHIA, PA 191",,,
360045,"4015 POPLAR ST, PHILADELPHIA, PA",,,
360046,"41ST & BROWN STS, PHILADELPHIA, PA",,,
360047,"41ST & BROWN STS, PHILADELPHIA, PA",,,
360048,"631 N 39TH ST, PHILADELPHIA, PA",,,
360049,"25 N 33RD ST, PHILADELPHIA, PA 191",,,
360050,"25 N 33RD ST, PHILADELPHIA, PA 191",,,
360051,"3118 RICHMOND ST, PHILADELPHIA, PA 1",,,
360052,"MEMPHIS & ANN STS, PHILADELPHIA, PA",,,
360053,"3255 BELGRADE ST, PHILADELPHIA, PA 191",,,
360054,"INDIANA AVE & ALMOND ST, PHILADELPHIA, PA 191",,,
360055,"INDIANA AVE & ALMOND ST, PHILADELPHIA, PA 191",,,
360056,"3068 BELGRADE ST, PHILADELPHIA, PA 191",,,
360057,"2649 E SOMERSET ST, PHILADELPHIA, PA 191",,,
360058,"3255 BELGRADE ST, PHILADELPHIA, PA 191",,,
360059,"3116 FRANKFORD AVE, PHILADELPHIA, PA",,,
