tsne_1,tsne_2,cluster_label,image_path
1.6630173,-24.623127,7,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/toB3ZGJ7zRsU3CCtJLYzv6uB3Za.jpg
-7.880731,39.019413,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/zSjUQ5EpOf4ytijx5X1bQefYfwp.jpg
-2.85164,-1.2015806,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/nUypHbrsZeN0PpXHAzPUXvryCMs.jpg
12.695407,-10.977763,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/5ofpuzVao0sibwt64EQOwojBKIp.jpg
-42.86032,1.8852688,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/xCibWxPyQ2m7hWpswVQFu1jEIno.jpg
6.3114605,-29.382345,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/xCtjFiY5DtzLW2OxoxygeJSIpGh.jpg
24.85808,2.858982,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/mYsz10ffxPUF3sHLQ13T9e9ijQh.jpg
-12.804488,-0.4300315,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/4bGWZWvPV9ahUsTNhs1Kx93b6IY.jpg
2.7783144,1.8960346,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/9SBgvVBhaedbQods3ZcIRY2NS4X.jpg
-26.966742,32.58213,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/4wrNNdDb0CFX5J5yoAmdtQofnev.jpg
26.881197,25.579823,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/wNFUuf9y9nOUFeRIcepAoLluQdX.jpg
4.709182,-30.925009,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/iU0ZHVc0JX6ywd9yer3do1vzhGQ.jpg
-29.984426,-32.33467,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/qcCZ4uIq9wvAYsOZIxBUVjDd9KF.jpg
27.487505,-10.3421,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/6Fdku46UeJnny4xZK8E1sTVMBRe.jpg
8.888581,44.118366,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/blWeJRMR3ms9FBK5xENlIqLm7ux.jpg
42.63749,18.387194,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/k5bZS2NsgVswuThBfyJYaV6T6zu.jpg
17.89611,45.668,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/dCckder79931DLGxef83QmF9INq.jpg
9.8302965,0.43742937,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/yGLrE150vchL1q1e1UNmPRPKwii.jpg
