tconst,genre_ids,release_date,title,poster_path,nearest,percentage,year
tt0041099,,1949-05-09,Holiday in Hell,/n7FYNU3FQIz2fVBy2AJYH8FCEdm.jpg,#F3EBD8,9.013333333333334,1949
tt0041099,,1949-05-09,Holiday in Hell,/n7FYNU3FQIz2fVBy2AJYH8FCEdm.jpg,#F3EB9D,8.411851851851852,1949
tt0041099,,1949-05-09,Holiday in Hell,/n7FYNU3FQIz2fVBy2AJYH8FCEdm.jpg,#DEC29D,7.250370370370371,1949
tt0042568,10402,1950-10-30,Holiday Rhythm,/4Zm4mYCLJF4UUP8ljXyYY3EzTyR.jpg,#F1DFC4,15.6,1950
tt0042568,10402,1950-10-30,Holiday Rhythm,/4Zm4mYCLJF4UUP8ljXyYY3EzTyR.jpg,#F1DF76,11.371851851851853,1950
tt0042568,10402,1950-10-30,Holiday Rhythm,/4Zm4mYCLJF4UUP8ljXyYY3EzTyR.jpg,#221A40,5.282962962962963,1950
tt0042568,10402,1950-10-30,Holiday Rhythm,/4Zm4mYCLJF4UUP8ljXyYY3EzTyR.jpg,#651A40,4.195555555555556,1950
tt0042568,10402,1950-10-30,Holiday Rhythm,/4Zm4mYCLJF4UUP8ljXyYY3EzTyR.jpg,#221A1B,3.9525925925925924,1950
tt0044715,18,1952-07-25,Holiday for Sinners,/9dzzRLMN9ubyyh0jV07UiiOMXS3.jpg,#EFE9ED,40.69925925925926,1952
tt0044715,18,1952-07-25,Holiday for Sinners,/9dzzRLMN9ubyyh0jV07UiiOMXS3.jpg,#AAB6C0,7.185185185185185,1952
tt0044715,18,1952-07-25,Holiday for Sinners,/9dzzRLMN9ubyyh0jV07UiiOMXS3.jpg,#777B8D,7.167407407407407,1952
tt0044715,18,1952-07-25,Holiday for Sinners,/9dzzRLMN9ubyyh0jV07UiiOMXS3.jpg,#D1E9ED,6.586666666666667,1952
tt0044715,18,1952-07-25,Holiday for Sinners,/9dzzRLMN9ubyyh0jV07UiiOMXS3.jpg,#2D4855,4.835555555555556,1952
tt0046487,35,1953-02-25,Monsieur Hulot's Holiday,/r4F4tsU0Ajeh9ZYUkWOJSYmioj7.jpg,#D5D7CB,71.27111111111111,1953
