"362284","20 WAYNE AVE, HANOVER, PA 17331, , , ","Match","Exact","20 WAYNE AVE, HANOVER, PA, 17331","-76.96902129946682,39.79333718971964","88747191","L"
"362283","204 CLOVER LN, HANOVER, PA 17331, , , ","Match","Exact","204 CLOVER LN, HANOVER, PA, 17331","-76.9695253877457,39.78085507061866","88775786","R"
"362282","5055 GRANDVIEW RD, HANOVER, PA 17331, , , ","Match","Exact","5055 GRANDVIEW RD, HANOVER, PA, 17331","-76.98545399594764,39.76969990608097","636715013","R"
"362281","5 PENDYRUS ST, DELTA, PA 17314, , , ","Match","Exact","5 PENDYRUS ST, DELTA, PA, 17314","-76.3190349870269,39.73008452204522","633004043","L"
"362280","82 BEAVER CREEK RD, ABBOTTSTOWN, PA 17301, , , ","Match","Exact","82 BEAVER CREEK RD, ABBOTTSTOWN, PA, 17301","-76.95762487298532,39.89887258398147","88761650","L"
"362279","13081 HIGH POINT RD, FELTON, PA 17322, , , ","Match","Exact","13081 HIGH POINT RD, FELTON, PA, 17322","-76.60207793355823,39.82478124265407","611410714","L"
"362278","5671 LISCHEYS CHURCH RD, SPRING GROVE, PA 17362, , , ","Match","Exact","5671 LISCHEYS CHURCH RD, SPRING GROVE, PA, 17362","-76.87466392106813,39.85389639770341","88711246","L"
"362277","1405 SEVEN VALLEYS RD, YORK, PA 17408, , , ","Match","Exact","1405 7 VALLEYS RD, YORK, PA, 17408","-76.78693507872725,39.89174035924941","88734393","R"
"362276","1915 OLD TRL RD, ETTERS, PA 17319, , , ","Match","Exact","1915 OLD TRAIL RD, ETTERS, PA, 17319","-76.81834031524625,40.16334466074437","88738211","R"
"362275","570 CASSEL RD, MANCHESTER, PA 17345, , , ","Match","Exact","570 CASSEL RD, MANCHESTER, PA, 17345","-76.71986149279405,40.101675665131836","88720347","R"
"362274","2145 YORK HAVEN RD, ETTERS, PA 17319, , , ","No_Match"
"362295","3430 EASTERN BLVD, YORK, PA 17402, , , ","Match","Exact","3430 EASTERN BLVD, YORK, PA, 17402","-76.65648457465733,39.97920424816948","88760019","R"
"362294","2901 PLEASANT VALLEY RD, YORK, PA 17406, , , ","Match","Non_Exact","2901 PLEASANT VALLEY RD, YORK, PA, 17402","-76.67825479346277,39.990185628981294","648903762","L"
"362293","50 EISENHOWER, YORK, PA 17402, , , ","Match","Non_Exact","50 EISENHOWER DR, YORK, PA, 17402","-76.66050499169637,39.98192405218157","638073208","L"
"362292","1775 E MARKET ST, YORK, PA 17402, , , ","Match","Exact","1775 E MARKET ST, YORK, PA, 17402","-76.69202873432215,39.97329086973065","638081310","R"
"362291","2830 CAROL RD, YORK, PA 17402, , , ","Match","Exact","2830 CAROL RD, YORK, PA, 17402","-76.66549585747941,39.960308296272785","88733933","R"
"362290","1401 WILLIAMS RD, YORK, PA 17402, , , ","Match","Exact","1401 WILLIAMS RD, YORK, PA, 17402","-76.66479941093371,39.99109621997502","629671589","R"
"362289","2045 SHERMAN ST N, YORK, PA 17406, , , ","Match","Non_Exact","2045 N SHERMAN ST, YORK, PA, 17406","-76.70591757644297,39.99282784494977","611409620","R"
"362288","1775 E MARKET ST, YORK, PA 17402, , , ","Match","Exact","1775 E MARKET ST, YORK, PA, 17402","-76.69202873432215,39.97329086973065","638081310","R"
"362287","74 FORREST AVE E, SHREWSBURY, PA 17361, , , ","Match","Non_Exact","74 E FORREST AVE, SHREWSBURY, PA, 17361","-76.67183250980173,39.770971661936244","647592552","L"
"362286","11505 SUSQUEHANNA TRL S, GLEN ROCK, PA 17327, , , ","Match","Non_Exact","11505 SUSQUEHANNA TRL, GLEN ROCK, PA, 17327","-76.68331988152579,39.81107735517077","88713684","R"
"362285","55 ALBRIGHT DR, HANOVER, PA 17331, , , ","Match","Exact","55 ALBRIGHT DR, HANOVER, PA, 17331","-76.94736236435449,39.79721388963418","88710165","R"
"362299","340 TRI HILL RD, YORK, PA 17403, , , ","Match","Exact","340 TRI HILL RD, YORK, PA, 17403","-76.71076832364741,39.94195773080315","88732665","R"
"362298","1502 FOURTH AVE, YORK, PA 17403, , , ","Match","Exact","1502 4TH AVE, YORK, PA, 17403","-76.69764175539996,39.966797073944406","88733225","R"
"362297","501 RATHTON RD, YORK, PA 17403, , , ","Match","Exact","501 RATHTON RD, YORK, PA, 17403","-76.7065938105485,39.949571690124856","88776155","L"
"362296","9211 S SUSQUEHANNA TRL, SEVEN VALLEYS, PA 17360, , , ","Match","Non_Exact","9211 SUSQUEHANNA TRL S, SEVEN VALLEYS, PA, 17360","-76.70692815423297,39.83991706968237","88735260","L"
"369709","5111 N 04TH ST, PHILADELPHIA, PA, , , ","No_Match"
"369707","B & GALE STS, PHILADELPHIA, PA 19120, , , ","Match","Non_Exact","B ST & E GALE ST, PHILADELPHIA, PA, 19120","-75.11770173862351,40.03403491692046","",""
"369708","B & GALE STS, PHILADELPHIA, PA, , , ","Match","Non_Exact","B ST & E GALE ST, PHILADELPHIA, PA, 19120","-75.11770173862351,40.03403491692046","",""
"369701","FRONT ST & DUNCANNON AVE, PHILADELPHIA, PA 191, , , ","Match","Non_Exact","N FRONT ST & W DUNCANNON AVE, PHILADELPHIA, PA, 19120","-75.12272823732837,40.02914791807024","",""
"369702","5111 N 04TH ST, PHILADELPHIA, PA, , , ","No_Match"
"369700","238 E WYOMING AVE, PHILADELPHIA, PA 191, , , ","Match","Non_Exact","238 E WYOMING AVE, PHILADELPHIA, PA, 19120","-75.12131801545229,40.02112535609564","131420085","R"
"369705","FRONT ST & DUNCANNON AVE, PHILADELPHIA, PA 191, , , ","Match","Non_Exact","N FRONT ST & W DUNCANNON AVE, PHILADELPHIA, PA, 19120","-75.12272823732837,40.02914791807024","",""
"369706","5111 N 04TH ST, PHILADELPHIA, PA, , , ","No_Match"
"369703","425 E ROOSEVELT BLVD, PHILADELPHIA, PA, , , ","Match","Exact","425 E ROOSEVELT BLVD, PHILADELPHIA, PA, 19120","-75.11774372568902,40.02679954666411","131451432","L"
