Unique ID,Street address,City,State,ZIP
319937,"6000 RENNER ROAD, COLUMBUS, OH 43228",,,
319938,"428 EAST MAIN STREET, COLUMBUS, OH 43215",,,
319939,"340 SOUTH WAGGONER ROAD, REYNOLDSBURG, OH 43068",,,
319940,"5147 KARL ROAD, COLUMBUS, OH 43229",,,
319941,"610 LANCASTER AVENUE, REYNOLDSBURG, OH 43068",,,
319942,"4665 HOOVER ROAD, GROVE CITY, OH 43123",,,
319943,"2199 HOLT ROAD, GROVE CITY, OH 43123",,,
319944,"501 EAST BROAD STREET, COLUMBUS, OH 43215",,,
319945,"3650 SUNBURY ROAD, COLUMBUS, OH 43219",,,
319946,"2100 REYNOLDSBURG NEW ALBANY ROAD, BLACKLICK, OH 43004",,,
319947,"777 HIGH ST., WORTHINGTON, OH 43085",,,
319948,"1150 WEST FIFTH AVENUE, COLUMBUS, OH 43212",,,
319949,"253 MAPLE ST, METAMORA, OH 43540",,,
319950,"15891 US HIGHWAY 20, WAUSEON, OH 43567",,,
319951,"845 E LEGGETT ST, WAUSEON, OH 43567",,,
319952,"18405 COUNTY RD DE, PETTISVILLE, OH 43553",,,
319953,"845 E LEGGETT ST, WAUSEON, OH 43567",,,
319954,"845 E LEGGETT ST, WAUSEON, OH 43567",,,
319955,"1205 N SHOOP AVE, WAUSEON, OH 43567",,,
319956,"1205 N SHOOP AVE, WAUSEON, OH 43567",,,
319957,"1205 N SHOOP AVE, WAUSEON, OH 43567",,,
319958,"252 WINDISCH ST, WAUSEON, OH 43567",,,
319959,"10392 STATE ROUTE 66, FAYETTE, OH 43521",,,
319960,"10555 CO. RD 4, SWANTON, OH 43558",,,
319961,"700 W LUTZ RD, ARCHBOLD, OH 43502",,,
319962,"700 W LUTZ RD, ARCHBOLD, OH 43502",,,
319963,"700 W LUTZ RD, ARCHBOLD, OH 43502",,,
319964,"700 W LUTZ RD, ARCHBOLD, OH 43502",,,
319965,"511 S FAYETTE ST, FAYETTE, OH 43521",,,
319966,"10810 COUNTY RD 10-2, DELTA, OH 43515",,,
319967,"409 W MORENCI ST, LYONS, OH 43533",,,
319968,"315 W AIRPORT HWY, SWANTON, OH 43558",,,
319969,"315 W AIRPORT HWY, SWANTON, OH 43558",,,
319970,"5565 COUNTY RD D, DELTA, OH 43515",,,
319971,"200 S HALLETT AVE, SWANTON, OH 43558",,,
319972,"200 S HALLETT AVE, SWANTON, OH 43558",,,
319973,"5939 STATE ROUTE 109, DELTA, OH 43515",,,
319974,"5939 STATE ROUTE 109, DELTA, OH 43515",,,
319975,"5939 STATE ROUTE 109, DELTA, OH 43515",,,
319976,"5939 STATE ROUTE 109, DELTA, OH 43515",,,
319977,"2100 COUNTY RD 5, DELTA, OH 43515",,,
319978,"1100 FOURTH AVE, GALLIPOLIS, OH 45631",,,
319979,"1100 FOURTH AVE, GALLIPOLIS, OH 45631",,,
319980,"1100 FOURTH AVE, GALLIPOLIS, OH 45631",,,
319981,"1333 BRICK SCHOOL RD, GALLIPOLIS, OH 45631",,,
319982,"1333 BRICK SCHOOL RD, GALLIPOLIS, OH 45631",,,
319983,"100 KYGER CEMETARY RD, CHESHIRE, OH 45620",,,
319984,"11802 ST RT 7 S, GALLIPOLIS, OH 45631",,,
319985,"1100 FOURTH AVE, GALLIPOLIS, OH 45631",,,
319986,"499 JACKSON PIKE, GALLIPOLIS, OH 45631",,,
319987,"111 JACKSON PIKE, GALLIPOLIS, OH 45631",,,
319988,"4486 ST RT 588, GALLIPOLIS, OH 45631",,,
319989,"160 CENTENARY CHURCH RD, GALLIPOLIS, OH 45631",,,
319990,"5370 ST RT 233, PATRIOT, OH 45658",,,
319991,"25516 ST RT 7 S, CROWN CITY, OH 45623",,,
