Unique ID,Street address,City,State,ZIP
199961,6565 VIKING BLVD NE WYOMING MN 55092,,,
199962,19888 NOWTHEN BLVD NW ELK RIVER MN 55330,,,
199963,19888 NOWTHEN BLVD NW ELK RIVER MN 55330,,,
199964,19900 NIGHTINGALE ST NW CEDAR MN 55011,,,
199965,3840 197TH AVE NW ANOKA MN 55303,,,
199966,19921 NIGHTINGALE ST NW CEDAR MN 55011,,,
199967,19900 NIGHTINGALE ST NW CEDAR MN 55011,,,
199968,6341 167TH AVE NW RAMSEY MN 55303,,,
199969,5730 179TH LN NW RAMSEY MN 55303,,,
199970,7925 161ST AVE NW RAMSEY MN 55303,,,
199971,15650 SUNFISH LAKE BLVD NW RAMSEY MN 55303,,,
199972,7550 SUNWOOD DR NW RAMSEY MN 55303,,,
199973,15050 ARMSTRONG BLVD NW RAMSEY MN 55303,,,
199974,5650 ALPINE DR NW RAMSEY MN 55303,,,
199975,14501 NOWTHEN BLVD NW RAMSEY MN 55303,,,
199976,4115 AMBASSADOR BLVD NW SAINT FRANCIS MN 55070,,,
199977,4115 AMBASSADOR BLVD NW SAINT FRANCIS MN 55070,,,
199978,7777 UNIVERSITY AVE NE SPRING LAKE PARK MN 55432,,,
199979,7777 UNIVERSITY AVE NE SPRING LAKE PARK MN 55432,,,
199980,7777 UNIVERSITY AVE NE SPRING LAKE PARK MN 55432,,,
199981,357 4TH ST AUDUBON MN 56511,,,
199982,357 4TH ST AUDUBON MN 56511,,,
199983,114 NORTH LAKE ST FRAZEE MN 56544,,,
199984,48459 COUNTY HIGHWAY 26 PONSFORD MN 56575,,,
199985,10929 COUNTY HIGHWAY 5 PELICAN RAPIDS MN 56572,,,
199986,408 ELM ST W DETROIT LAKES MN 56501,,,
199987,408 ELM ST W DETROIT LAKES MN 56501,,,
199988,408 ELM ST W DETROIT LAKES MN 56501,,,
199989,213 ROOSEVELT AVE DETROIT LAKES MN 56501,,,
199990,1401 MADISON AVE DETROIT LAKES MN 56501,,,
199991,912 LAKE AVE DETROIT LAKES MN 56501,,,
199992,30526 179TH ST DETROIT LAKES MN 56501,,,
199993,114 NORTH LAKE ST FRAZEE MN 56544,,,
199994,20692 COUNTY ROAD 123 OSAGE MN 56570,,,
199995,37083 STATE HIGHWAY 34 DETROIT LAKES MN 56501,,,
199996,25511 COUNTY HIGHWAY 27 ROCHERT MN 56578,,,
199997,12708 TOWNHALL RD AUDUBON MN 56511,,,
199998,2032 2ND ST LAKE PARK MN 56554,,,
199999,25933 130TH ST DETROIT LAKES MN 56501,,,
200000,32012 370TH ST OGEMA MN 56569,,,
200001,24770 COUNTY HIGHWAY 48 OSAGE MN 56570,,,
200002,48500 COUNTY HIGHWAY 58 PONSFORD MN 56575,,,
200003,26000 250TH ST CALLAWAY MN 56521,,,
200004,11736 COUNTY HIGHWAY 49 MENAHGA MN 56464,,,
200005,45451 SCHOOLHOUSE RD OSAGE MN 56570,,,
200006,11524 363RD AVE FRAZEE MN 56544,,,
200007,130 N MANNINEN AVE WOLF LAKE MN 56593,,,
200008,32003 COUNTY ROAD 143 OGEMA MN 56569,,,
200009,130 N MANNINEN AVE WOLF LAKE MN 56593,,,
200010,28982 ALASKA LN NW PUPOSKY MN 56667,,,
200011,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200012,148 CARR LAKE RD SE BEMIDJI MN 56601,,,
200013,1630 BIRCHMONT DR NE BEMIDJI MN 56601,,,
200014,1430 23RD ST NW BEMIDJI MN 56601,,,
200015,1600 MINNESOTA AVE NW BEMIDJI MN 56601,,,
200016,1600 MINNESOTA AVE NW BEMIDJI MN 56601,,,
200017,317 4TH ST NW BEMIDJI MN 56601,,,
200018,905 GRANT AVE SE BEMIDJI MN 56601,,,
200019,65510 FLINTLOCK RD NW GRYGLA MN 56727,,,
200020,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200021,8 SUMMIT AVE E BLACKDUCK MN 56630,,,
200022,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200023,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200024,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200025,9735 CARDINAL RD NW BEMIDJI MN 56601,,,
200026,8769 ROOSEVELT RD SE BEMIDJI MN 56601,,,
200027,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200028,5408 BOOT LAKE RD SW BEMIDJI MN 56601,,,
200029,11423 BIRCHWOOD RD NE TENSTRIKE MN 56683,,,
200030,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200031,22009 WOOD LN NE HINES MN 56647,,,
200032,29480 HORNET RD NE BLACKDUCK MN 56630,,,
200033,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200034,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200035,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200036,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200037,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200038,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
200039,9735 CARDINAL RD NW BEMIDJI MN 56601,,,
200040,701 MINNESOTA AVE NW STE 220 BEMIDJI MN 56601 -3178,,,
