Unique ID,Street address,City,State,ZIP
349931,6131 VINE ST PHILADELPHIA PA 191,,,
349932,999 HORSESHOE PIKE DOWNINGTOWN PA 19335,,,
349933,. PHILADELPHIA PA 191,,,
349934,6130 LANSDOWNE AVE PHILADELPHIA PA,,,
349935,2808 W LEHIGH AVE PHILADELPHIA PA,,,
349936,1330 RHAWN ST PHILADELPHIA PA,,,
349937,11452 STATE ROUTE 92 SOUTH GIBSON PA 18842,,,
349938,EDGEMORE & MEDIA STS PHILADELPHIA PA 191,,,
349939,68TH & LANSDOWNE AVE PHILADELPHIA PA,,,
349940,250 S BRADY ST DUBOIS PA 15801,,,
349941,1101 N 63RD ST PHILADELPHIA PA,,,
349942,1625 N 76TH ST PHILADELPHIA PA,,,
349943,44 MILLER AVE RANKIN PA 15104,,,
349944,7630 WOODBINE AVE PHILADELPHIA PA,,,
349945,650 E 23RD ST ERIE PA 16503,,,
349946,182 S RIDGE RD SHELOCTA PA 15774,,,
349947,67 N 63RD ST PHILADELPHIA PA 191,,,
349948,19TH & NORTH STS PHILADELPHIA PA,,,
349949,HAVERFORD & WOODBINE AVES PHILADELPHIA PA,,,
349950,11 E CHURCH ST FREEBURG PA 17827,,,
349951,E BUTLER ST MERCER PA 16137,,,
349952,22 41641 E UNION ST KINGSTON PA 18704,,,
349953,603 LONGSHORE AVE PHILADELPHIA PA,,,
349954,1050 WINDEMERE DR PITTSBURGH PA,,,
349955,836 MOUNTAIN RUN RD DUBOIS PA 15801,,,
349956,6500 TABOR AVE PHILADELPHIA PA,,,
349957,3325 CHERRY ST ERIE PA 16508,,,
349958,6200 RISING SUN AVE PHILADELPHIA PA,,,
349959,55 ROCHESTER RD ROSS PA,,,
349960,2415 ALLEQUIPPA ST PITTSBURGH PA 152131,,,
349961,LANGDON & SANGER STS PHILADELPHIA PA,,,
349962,1400 SOUTHAMPTON RD PHILADELPHIA PA,,,
349963,RISING SUN & CHELTENHAM AVE PHILADELPHIA PA,,,
349964,2332 N 15TH ST PHILADELPHIA PA 191,,,
349965,LANGDON & SANGER STS PHILADELPHIA PA,,,
349966,401 BLAIR ST HOLLIDAYSBURG PA 16648,,,
349967,HART LA & BOUDINOT ST PHILADELPHIA PA,,,
349968,RISING SUN AVE & COMLY ST PHILADELPHIA PA,,,
349969,369 LINDEN ST LOCK HAVEN PA 17745,,,
349970,530 WATER ST BROWNSVILLE PA 15417,,,
349971,8 HICKORY ST KITTANNING PA 16201,,,
349972,525 VINE ST JOHNSTOWN PA,,,
349973,23RD & REED STS PHILADELPHIA PA,,,
349974,5720 STEUBENVILLE PIKE ROBINSON PA,,,
349975,354 BAKER ST RIMERSBURG PA,,,
349976,23RD & REED STS PHILADELPHIA PA,,,
349977,1670 CANOE RIDGE RD ROSSITER PA 15772,,,
349978,450 W WASHINGTON ST BRADFORD PA 16701,,,
349979,505 CENTER ST WILLIAMSPORT PA 17701,,,
349980,1410 S 20TH ST PHILADELPHIA PA 191,,,
349981,100 CONWAY AVE NARBERTH PA 19072,,,
349982,550 S READING RD EPHRATA PA 17522,,,
349983,22ND & MC CLELLAN STS PHILADELPHIA PA 1,,,
