Unique ID,Street address,City,State,ZIP
169967,"47 CAMP STREET, ENTER NEIGHBORHOOD CENTER FROM PARKING LOT IN THE BACK, MA",,,
169968,"ENTER NORTH ENTRANCE 486 CHANDLER ST, WELLNESS CENTER GYMNASIUM, MA",,,
169969,"ENTER NORTH ENTRANCE 486 CHANDLER ST, WELLNESS CENTER GYMNASIUM, MA",,,
169970,"ENTER NORTH ENTRANCE 486 CHANDLER ST, WELLNESS CENTER GYMNASIUM, MA",,,
169971,"2 AIRPORT DRIVE, ENTER FELLOWSHIP HALL FROM AIRPORT DR PARKING LOT, MA",,,
169972,"1070 PLEASANT STREET, ENTER HALL FROM HOWE AVE PARKING LOT, MA",,,
169973,"425 PLEASANT STREET, ENTER RIGHT SIDE OF BUILDING, MA",,,
169974,"68 CEDAR STREET, ENTER THROUGH FRONT DOOR, MA",,,
169975,"50 MURRAY AVENUE, ENTER COMMUNITY ROOM THROUGH FRONT DOOR, MA",,,
169976,"26 MAYSIDE LANE, ENTER COMMUNITY ROOM THROUGH FRONT DOOR, MA",,,
169977,"766 MAIN ST, ENTER CONFERENCE ROOM FROM MAIN LOBBY, MA",,,
169978,"160 HUNTINGTON RD, WORTHINGTON, MA",,,
169979,"TAUNTON STREET, WRENTHAM, MA",,,
169980,"TAUNTON STREET, WRENTHAM, MA",,,
169981,"TAUNTON STREET, WRENTHAM, MA",,,
169982,"329 RTE. 6A, YARMOUTH PORT, MA",,,
169983,"528 FOREST ROAD, SOUTH YARMOUTH, MA",,,
169984,"1146 RTE.28, S.YARMOUTH, MA",,,
169985,"528 FOREST ROAD, SOUTH YARMOUTH, MA",,,
169986,"22 MID TECH DRIVE, WEST YARMOUTH, MA",,,
169987,"22 MID TECH DRIVE, WEST YARMOUTH, MA",,,
169988,"68 KINGS CIRCUIT, YARMOUTH PORT, MA",,,
169989,16975 US 12 WHITE PIGEON MI 49099,,,
169990,ARGYLE ROAD AND M-19 ARGYLE MI 48410,,,
169991,15020 30TH AVE BARRYTON MI 49305,,,
169992,7499 STERLING ROAD YALE MI 48097,,,
169993,46501 WARREN CANTON MI 48187,,,
169994,2305 19-MILE RD CEDAR SPRINGS MI 49319,,,
169995,1350 KURTZ DRIVE MILFORD MI 48381,,,
169996,02811 S M-66 HWY EAST JORDAN MI 49727,,,
169997,101 S ADAMS ST MT. PLEASANT MI 48858,,,
169998,2313 DENMARK MUSKEGON MI 49441,,,
169999,9300 HUBBARD LIVONIA MI 48150,,,
170000,16100 EDWARDS SOUTHFIELD MI 48076,,,
170001,1150 WEST CENTRE AVENUE PORTAGE MI 49024,,,
170002,13300 BURNS SOUTHGATE MI 48195,,,
170003,161 COUNTY ROAD 492 MARQUETTE MI 49855,,,
170004,8555 KNAPP ROAD HOUGHTON LAKE MI 48629,,,
170005,27225 EVERGREEN RD SOUTHFIELD MI 48076,,,
170006,9080 MASON STREET HOLLY MI 48442,,,
170007,17430 STATE HWY M 35 ROCK MI 49880,,,
170008,MERCHANTS BLDG - 602 N DEAN ST ADRIAN MI 49221,,,
170009,7524 E MT MORRIS RD OTISVILLE MI 48463,,,
170010,21860 PONTIAC TRAIL SOUTH LYON MI 48178,,,
170011,2021 W HOLT ROAD MASON MI 48854,,,
170012,4360 HANSEN AVE LEWISTON MI 49756,,,
170013,8017 S LINDEN RD SWARTZ CREEK MI 48473,,,
170014,TAPIOLA HOUGHTON MI 49931,,,
170015,167 S RIPLEY BLVD ALPENA MI 49707,,,
170016,14492 GLOVERS LAKE ROAD BEAR LAKE MI 49614,,,
170017,2455 WASHTENAW AVE ANN ARBOR MI 48104,,,
170018,15051 110TH AVENUE RODNEY MI 49342,,,
170019,495 EARHART RD ANN ARBOR MI 48105,,,
170020,1990 GRAY RD WEST BRANCH MI 48661,,,
170021,1655 NEWPORT RD ANN ARBOR MI 48103,,,
170022,5055 PLATT ROAD ANN ARBOR MI 48108,,,
170023,1025 W BRADY STREET CHESANING MI 48616,,,
170024,1495 W MONROE RD ST LOUIS SAINT LOUIS MI 48880,,,
170025,9048 SILVER LAKE RD LINDEN MI 48451,,,
170026,201 N RIVER BLVD YPSILANTI MI 48198,,,
170027,1444 KENT STREET CARLETON MI 48117,,,
170028,E9630 PROSPECT ST WETMORE MI 49895,,,
170029,2900 W GEERS RD MCBAIN MI 49657,,,
170030,4350 PEPPERMILL ROAD ATTICA MI 48412,,,
170031,112 E CENTER ST WALDRON MI 49288,,,
170032,2395 W HIGH ST JACKSON MI 49203,,,
170033,7315 TERRITORIAL ROAD WATERVLIET MI 49098,,,
