Unique ID,Street address,City,State,ZIP
439913,"S66W14325 JANESVILLE RD, MUSKEGO, WI  53150-2607",,,
439914,"S66W14325 JANESVILLE RD, MUSKEGO, WI  53150-2607",,,
439915,"S73W16663 JANESVILLE RD, MUSKEGO, WI 53150-8618",,,
439916,"S73W16663 JANESVILLE RD, MUSKEGO, WI 53150-8618",,,
439917,"S70W16244 MARTIN DR, MUSKEGO, WI 53150",,,
439918,"S70W16244 MARTIN DR, MUSKEGO, WI 53150",,,
439919,"S70W16244 MARTIN DR, MUSKEGO, WI 53150",,,
439920,"W182S8200 RACINE AVE, MUSKEGO, WI  53150-8750",,,
439921,"W182S8200 RACINE AVE, MUSKEGO, WI  53150-8750",,,
439922,"S67W19491 TANS DR, MUSKEGO, WI  53150-8521",,,
439923,"S67W19491 TANS DR, MUSKEGO, WI  53150-8521",,,
439924,"W195S10030 RACINE AVE, MUSKEGO, WI 53150",,,
439925,"W195S10030 RACINE AVE, MUSKEGO, WI 53150",,,
439926,"S100W13444 LOOMIS DR, MUSKEGO, WI 53150-5218",,,
439927,"S100W13444 LOOMIS DR, MUSKEGO, WI 53150-5218",,,
439928,"2600 S SUNNYSLOPE RD, NEW BERLIN WI 53151-3074",,,
439929,"2600 S SUNNYSLOPE RD, NEW BERLIN WI 53151-3074",,,
439930,"2600 S SUNNYSLOPE RD, NEW BERLIN WI 53151-3074",,,
439931,"14750 W CLEVELAND AVE, NEW BERLIN WI 53151-3823",,,
439932,"14750 W CLEVELAND AVE, NEW BERLIN WI 53151-3823",,,
439933,"14750 W CLEVELAND AVE, NEW BERLIN WI 53151-3823",,,
439934,"14750 W CLEVELAND AVE, NEW BERLIN WI 53151-3823",,,
439935,"18695 W CLEVELAND AVE, NEW BERLIN, WI 53146-2231",,,
439936,"18695 W CLEVELAND AVE, NEW BERLIN, WI 53146-2231",,,
439937,"18695 W CLEVELAND AVE, NEW BERLIN, WI 53146-2231",,,
439938,"17651 W SMALL RD, NEW BERLIN, WI  53146-5530",,,
439939,"17651 W SMALL RD, NEW BERLIN, WI  53146-5530",,,
439940,"17651 W SMALL RD, NEW BERLIN, WI  53146-5530",,,
439941,"17651 W SMALL RD, NEW BERLIN, WI  53146-5530",,,
439942,"17651 W SMALL RD, NEW BERLIN, WI  53146-5530",,,
439943,"17651 W SMALL RD, NEW BERLIN, WI  53146-5530",,,
439944,"15105 LIBRARY LN, NEW BERLIN, WI  53151-5280",,,
439945,"15105 LIBRARY LN, NEW BERLIN, WI  53151-5280",,,
439946,"15105 LIBRARY LN, NEW BERLIN, WI  53151-5280",,,
439947,"15105 LIBRARY LN, NEW BERLIN, WI  53151-5280",,,
439948,"15105 LIBRARY LN, NEW BERLIN, WI  53151-5280",,,
439949,"12705 W EUCLID AVE, NEW BERLIN, WI  53151-4611",,,
439950,"12705 W EUCLID AVE, NEW BERLIN, WI  53151-4611",,,
439951,"12705 W EUCLID AVE, NEW BERLIN, WI  53151-4611",,,
439952,"3805 S CASPER DR, NEW BERLIN, WI  53151-5009",,,
439953,"3805 S CASPER DR, NEW BERLIN, WI  53151-5009",,,
439954,"3805 S CASPER DR, NEW BERLIN, WI  53151-5009",,,
439955,"440 COOLIDGE ST, OCONOMOWOC, WI  53066-2808",,,
439956,"440 COOLIDGE ST, OCONOMOWOC, WI  53066-2808",,,
439957,"440 COOLIDGE ST, OCONOMOWOC, WI  53066-2808",,,
439958,"212 S CONCORD RD, OCONOMOWOC WI 53066-3503",,,
439959,"212 S CONCORD RD, OCONOMOWOC WI 53066-3503",,,
439960,"212 S CONCORD RD, OCONOMOWOC WI 53066-3503",,,
439961,"641 E FOREST ST, OCONOMOWOC WI 53066-3814",,,
439962,"641 E FOREST ST, OCONOMOWOC WI 53066-3814",,,
439963,"641 E FOREST ST, OCONOMOWOC WI 53066-3814",,,
439964,"200 W SOUTH ST, OCONOMOWOC WI 53066-5213",,,
439965,"200 W SOUTH ST, OCONOMOWOC WI 53066-5213",,,
439966,"200 W SOUTH ST, OCONOMOWOC WI 53066-5213",,,
439967,"N31W23320 GREEN RD, PEWAUKEE WI 53072-4010",,,
439968,"N31W23320 GREEN RD, PEWAUKEE WI 53072-4010",,,
439969,"N31W23320 GREEN RD, PEWAUKEE WI 53072-4010",,,
439970,"N31W23320 GREEN RD, PEWAUKEE WI 53072-4010",,,
439971,"N14W27995 SILVERNAIL RD, PEWAUKEE WI 53072-5322",,,
439972,"N14W27995 SILVERNAIL RD, PEWAUKEE WI 53072-5322",,,
439973,"N14W27995 SILVERNAIL RD, PEWAUKEE WI 53072-5322",,,
439974,"W240N3065 PEWAUKEE RD, PEWAUKEE WI 53072-4044",,,
439975,"W240N3065 PEWAUKEE RD, PEWAUKEE WI 53072-4044",,,
439976,"W240N3065 PEWAUKEE RD, PEWAUKEE WI 53072-4044",,,
439977,"2301 SPRINGDALE RD, WAUKESHA, WI  53186-2856",,,
439978,"2301 SPRINGDALE RD, WAUKESHA, WI  53186-2856",,,
439979,"201 DELAFIELD ST, WAUKESHA, WI  53188-3646",,,
439980,"201 DELAFIELD ST, WAUKESHA, WI  53188-3646",,,
439981,"201 DELAFIELD ST, WAUKESHA WI 53188-3646",,,
439982,"1150 BAXTER ST, WAUKESHA, WI  53186-3884",,,
439983,"1150 BAXTER ST, WAUKESHA, WI  53186-3884",,,
439984,"1150 BAXTER ST, WAUKESHA, WI  53186-3884",,,
439985,"1111 MAITLAND DR, WAUKESHA, WI  53188-2361",,,
439986,"1111 MAITLAND DR, WAUKESHA, WI  53188-2361",,,
439987,"1111 MAITLAND DR, WAUKESHA, WI  53188-2361",,,
439988,"3130 ROLLING RIDGE DR, WAUKESHA, WI  53188-1356",,,
439989,"3130 ROLLING RIDGE DR, WAUKESHA, WI  53188-1356",,,
439990,"810 W COLLEGE AVE, WAUKESHA, WI  53186-5915",,,
439991,"810 W COLLEGE AVE, WAUKESHA, WI  53186-5915",,,
439992,"1801 CENTER RD, WAUKESHA, WI  53189-7303",,,
439993,"1801 CENTER RD, WAUKESHA, WI  53189-7303",,,
439994,"225 S HARTWELL AVE, WAUKESHA, WI  53186-6402",,,
439995,"225 S HARTWELL AVE, WAUKESHA, WI  53186-6402",,,
439996,"1209 HEYER DR, WAUKESHA, WI  53186-6807",,,
439997,"1209 HEYER DR, WAUKESHA, WI  53186-6807",,,
439998,"401 E ROBERTA AVE, WAUKESHA, WI  53186-6637",,,
439999,"401 E ROBERTA AVE, WAUKESHA, WI  53186-6637",,,
440000,"401 E ROBERTA AVE, WAUKESHA, WI  53186-6637",,,
440001,"413 WISCONSIN AVE, WAUKESHA, WI",,,
440002,"413 WISCONSIN AVE, WAUKESHA, WI  53186-4735",,,
440003,"413 WISCONSIN AVE, WAUKESHA, WI  53186-4735",,,
440004,"413 WISCONSIN AVE, WAUKESHA, WI  53186-4735",,,
440005,"413 WISCONSIN AVE, WAUKESHA, WI  53186-4735",,,
440006,"3301 SAYLESVILLE RD, WAUKESHA, WI  53189-6600",,,
440007,"3301 SAYLESVILLE RD, WAUKESHA, WI  53189-6600",,,
440008,"730 S UNIVERSITY DR, WAUKESHA, WI  53188-4543",,,
440009,"730 S UNIVERSITY DR, WAUKESHA, WI  53188-4543",,,
440010,"730 S UNIVERSITY DR, WAUKESHA, WI  53188-4543",,,
440011,"3051 SUMMIT AVE, WAUKESHA, WI  53188-2660",,,
440012,"3051 SUMMIT AVE, WAUKESHA, WI  53188-2660",,,
440013,"301 HYDE PARK AVE, WAUKESHA, WI  53188-3051",,,
440014,"301 HYDE PARK AVE, WAUKESHA, WI  53188-3051",,,
440015,"730 S UNIVERSITY DR, WAUKESHA, WI  53188-4543",,,
