season_number,story_number,episode_number,episode_title,type,first_aired,uk_viewers,rating,duration,episode,overall_episode_number,writer,director
4,195b,9,Forest of the Dead,episode,2008-06-07,7.84,89,45,4.9 Forest of the Dead,51,Steven Moffat,Euros Lyn
4,196,10,Midnight,episode,2008-06-14,8.05,86,45,4.10 Midnight,52,Russell T Davies,Alice Troughton
4,197,11,Turn Left,episode,2008-06-21,8.09,88,50,4.11 Turn Left,53,Russell T Davies,Graeme Harper
4,198a,12,The Stolen Earth,episode,2008-06-28,8.78,91,45,4.12 The Stolen Earth,54,Russell T Davies,Graeme Harper
4,198b,13,Journey's End,episode,2008-07-05,10.57,91,63,4.13 Journey's End,55,Russell T Davies,Graeme Harper
4,199,1,The Next Doctor,special,2008-12-25,13.1,86,60,4.1 The Next Doctor,56,Russell T Davies,Andy Goddard
4,200,2,Planet of the Dead,special,2009-04-11,9.75,88,60,4.2 Planet of the Dead,57,Russell T Davies,James Strong
4,200,2,Planet of the Dead,special,2009-04-11,9.75,88,60,4.2 Planet of the Dead,57,Gareth Roberts,James Strong
4,201,3,The Waters of Mars,special,2009-11-15,10.32,88,60,4.3 The Waters of Mars,58,Russell T Davies,Graeme Harper
4,201,3,The Waters of Mars,special,2009-11-15,10.32,88,60,4.3 The Waters of Mars,58,Phil Ford,Graeme Harper
4,202a,4,The End of Time – Part One,special,2009-12-25,12.04,87,60,4.4 The End of Time – Part One,59,Russell T Davies,Euros Lyn
4,202b,5,The End of Time – Part Two,special,2010-01-01,12.27,89,75,4.5 The End of Time – Part Two,60,Russell T Davies,Euros Lyn
5,203,1,The Eleventh Hour,episode,2010-04-03,10.09,86,65,5.1 The Eleventh Hour,61,Steven Moffat,Adam Smith
5,204,2,The Beast Below,episode,2010-04-10,8.42,86,45,5.2 The Beast Below,62,Steven Moffat,Andrew Gunn
5,205,3,Victory of the Daleks,episode,2010-04-17,8.21,84,45,5.3 Victory of the Daleks,63,Mark Gatiss,Andrew Gunn
5,206a,4,The Time of Angels,episode,2010-04-24,8.59,87,45,5.4 The Time of Angels,64,Steven Moffat,Adam Smith
5,206b,5,Flesh and Stone,episode,2010-05-01,8.5,86,45,5.5 Flesh and Stone,65,Steven Moffat,Adam Smith
5,207,6,The Vampires of Venice,episode,2010-05-08,7.68,86,50,5.6 The Vampires of Venice,66,Toby Whithouse,Jonny Campbell
5,208,7,Amy's Choice,episode,2010-05-15,7.55,84,45,5.7 Amy's Choice,67,Simon Nye,Catherine Morshead
5,209a,8,The Hungry Earth,episode,2010-05-22,6.49,86,45,5.8 The Hungry Earth,68,Chris Chibnall,Ashley Way
5,209b,9,Cold Blood,episode,2010-05-29,7.49,85,45,5.9 Cold Blood,69,Chris Chibnall,Ashley Way
5,210,10,Vincent and the Doctor,episode,2010-06-05,6.76,86,45,5.10 Vincent and the Doctor,70,Richard Curtis,Jonny Campbell
5,211,11,The Lodger,episode,2010-06-12,6.44,87,45,5.11 The Lodger,71,Gareth Roberts,Catherine Morshead
5,212a,12,The Pandorica Opens,episode,2010-06-19,7.57,88,50,5.12 The Pandorica Opens,72,Steven Moffat,Toby Haynes
5,212b,13,The Big Bang,episode,2010-06-26,6.7,89,55,5.13 The Big Bang,73,Steven Moffat,Toby Haynes
6,213,NA,A Christmas Carol,special,2010-12-25,12.11,83,60,6.X A Christmas Carol,74,Steven Moffat,Toby Haynes
6,214a,1,The Impossible Astronaut,episode,2011-04-23,8.86,88,45,6.1 The Impossible Astronaut,75,Steven Moffat,Toby Haynes
6,214b,2,Day of the Moon,episode,2011-04-30,7.3,87,45,6.2 Day of the Moon,76,Steven Moffat,Toby Haynes
6,215,3,The Curse of the Black Spot,episode,2011-05-07,7.85,86,45,6.3 The Curse of the Black Spot,77,Stephen Thompson,Jeremy Webb
6,216,4,The Doctor's Wife,episode,2011-05-14,7.97,87,45,6.4 The Doctor's Wife,78,Neil Gaiman,Richard Clark
6,217a,5,The Rebel Flesh,episode,2011-05-21,7.35,85,45,6.5 The Rebel Flesh,79,Matthew Graham,Julian Simpson
6,217b,6,The Almost People,episode,2011-05-28,6.72,86,45,6.6 The Almost People,80,Matthew Graham,Julian Simpson
6,218,7,A Good Man Goes to War,episode,2011-06-04,7.51,88,50,6.7 A Good Man Goes to War,81,Steven Moffat,Peter Hoar
6,219,8,Let's Kill Hitler,episode,2011-08-27,8.1,85,50,6.8 Let's Kill Hitler,82,Steven Moffat,Richard Senior
6,220,9,Night Terrors,episode,2011-09-03,7.07,86,45,6.9 Night Terrors,83,Mark Gatiss,Richard Clark
6,221,10,The Girl Who Waited,episode,2011-09-10,7.6,85,45,6.10 The Girl Who Waited,84,Tom MacRae,Nick Hurran
6,222,11,The God Complex,episode,2011-09-17,6.77,86,50,6.11 The God Complex,85,Toby Whithouse,Nick Hurran
6,223,12,Closing Time,episode,2011-09-24,6.93,86,45,6.12 Closing Time,86,Gareth Roberts,Steve Hughes
6,224,13,The Wedding of River Song,episode,2011-10-01,7.67,86,45,6.13 The Wedding of River Song,87,Steven Moffat,Jeremy Webb
7,225,NA,"The Doctor, the Widow and the Wardrobe",special,2011-12-25,10.77,84,60,"7.X The Doctor, the Widow and the Wardrobe",88,Steven Moffat,Farren Blackburn
7,226,1,Asylum of the Daleks,episode,2012-09-01,8.33,89,50,7.1 Asylum of the Daleks,89,Steven Moffat,Nick Hurran
7,227,2,Dinosaurs on a Spaceship,episode,2012-09-08,7.57,87,45,7.2 Dinosaurs on a Spaceship,90,Chris Chibnall,Saul Metzstein
7,228,3,A Town Called Mercy,episode,2012-09-15,8.42,85,45,7.3 A Town Called Mercy,91,Toby Whithouse,Saul Metzstein
7,229,4,The Power of Three,episode,2012-09-22,7.67,87,41,7.4 The Power of Three,92,Chris Chibnall,Douglas Mackinnon
7,230,5,The Angels Take Manhattan,episode,2012-09-29,7.82,88,45,7.5 The Angels Take Manhattan,93,Steven Moffat,Nick Hurran
7,231,NA,The Snowmen,special,2012-12-25,9.87,87,60,7.X The Snowmen,94,Steven Moffat,Saul Metzstein
7,232,6,The Bells of Saint John,episode,2013-03-30,8.44,87,45,7.6 The Bells of Saint John,95,Steven Moffat,Colm McCarthy
7,233,7,The Rings of Akhaten,episode,2013-04-06,7.45,84,44,7.7 The Rings of Akhaten,96,Neil Cross,Farren Blackburn
7,234,8,Cold War,episode,2013-04-13,7.37,84,45,7.8 Cold War,97,Mark Gatiss,Douglas Mackinnon
7,235,9,Hide,episode,2013-04-20,6.61,85,45,7.9 Hide,98,Neil Cross,Jamie Payne
7,236,10,Journey to the Centre of the TARDIS,episode,2013-04-27,6.5,85,45,7.10 Journey to the Centre of the TARDIS,99,Stephen Thompson,Mat King
7,237,11,The Crimson Horror,episode,2013-05-04,6.47,85,45,7.11 The Crimson Horror,100,Mark Gatiss,Saul Metzstein
7,238,12,Nightmare in Silver,episode,2013-05-11,6.64,84,45,7.12 Nightmare in Silver,101,Neil Gaiman,Stephen Woolfenden
7,239,13,The Name of the Doctor,episode,2013-05-18,7.45,88,45,7.13 The Name of the Doctor,102,Steven Moffat,Saul Metzstein
7,240,1,The Day of the Doctor,special,2013-11-23,12.8,88,77,7.1 The Day of the Doctor,103,Steven Moffat,Nick Hurran
7,241,2,The Time of the Doctor,special,2013-12-25,11.14,83,60,7.2 The Time of the Doctor,104,Steven Moffat,Jamie Payne
8,242,1,Deep Breath,episode,2014-08-23,9.17,82,76,8.1 Deep Breath,105,Steven Moffat,Ben Wheatley
