x,y
408,175
387.374755859375,182.51141357421875
363.71759033203125,182.14979553222656
340.0897521972656,180.81747436523438
316.4736328125,179.2860870361328
292.8526611328125,177.8324432373047
269.2191467285156,176.5992889404297
245.57167053222656,175.6765594482422
221.91256713867188,175.13031005859375
198.24752807617188,175.0137176513672
174.58447265625,175.34573364257812
150.93052673339844,176.08441162109375
127.28998565673828,177.17208862304688
103.66360473632812,178.53335571289062
80.04694366455078,180.0567169189453
56.428218841552734,181.54698181152344
32.785539627075195,182.55731201171875
9.20107650756836,181.25352478027344
7.590991497039795,164.748291015625
27.17184066772461,151.5538330078125
48.578365325927734,141.48866271972656
70.79090881347656,133.3397216796875
93.50920104980469,126.72559356689453
116.58258819580078,121.4787368774414
139.91183471679688,117.51754760742188
163.41851806640625,114.80191802978516
187.0348663330078,113.31415557861328
210.6964111328125,113.04893493652344
234.34034729003906,114.0043716430664
257.903564453125,116.17909240722656
281.3209533691406,119.58059692382812
304.5218505859375,124.23352813720703
327.4215087890625,130.19390869140625
349.9010009765625,137.57760620117188
371.75714111328125,146.63502502441406
392.4821472167969,158.01821899414062
286,77.5
282.1288757324219,100.79476928710938
270.9920349121094,121.62610626220703
254.0482940673828,138.10301208496094
233.0906524658203,149.04612731933594
209.92617797851562,153.8031768798828
186.32838439941406,152.21900939941406
164.04205322265625,144.31842041015625
144.8647918701172,130.4967498779297
130.60675048828125,111.65538787841797
122.97085571289062,89.30783081054688
122.97088623046875,65.6923828125
130.60670471191406,43.344783782958984
144.8647003173828,24.503395080566406
164.0420684814453,10.681611061096191
186.32847595214844,2.7810453176498413
209.92626953125,1.1967925876379013
233.09091186523438,5.953897476196289
254.0484619140625,16.897116661071777
270.99212646484375,33.3740348815918
282.1288757324219,54.205322265625
