year,nearest_overall,n
1929,#7F0000,12.287407407407407
1929,#7F7F7F,5.810370370370371
1929,#FFFF00,27.89037037037037
1929,#FFFFFF,17.635555555555555
1930,#000000,238.5125925925926
1930,#7F0000,26.74962962962963
1930,#7F7F00,88.36148148148148
1930,#7F7F7F,58.05333333333333
1930,#7F7FFF,9.30962962962963
1930,#FF7F7F,20.616296296296298
1930,#FF7FFF,5.576296296296297
1930,#FFFF7F,63.36296296296296
1930,#FFFFFF,24.414814814814815
1931,#000000,15.86962962962963
1931,#7F7F7F,35.28592592592592
1931,#FFFFFF,14.879999999999999
1934,#000000,159.3837037037037
1934,#007F7F,4.37037037037037
1934,#7F0000,20.83555555555556
1934,#7F007F,14.506666666666668
1934,#7F7F7F,44.90962962962963
1934,#FF7F7F,18.31111111111111
1934,#FFFFFF,117.19111111111111
1936,#000000,147.17333333333332
1936,#00007F,22.08888888888889
1936,#7F7F7F,42.871111111111105
1936,#FFFF7F,37.404444444444444
1936,#FFFFFF,69.34222222222222
1937,#000000,117.34814814814816
1937,#7F0000,10.524444444444445
1937,#7F7F7F,23.92
1937,#FF7F00,7.863703703703703
1937,#FF7F7F,15.875555555555557
1937,#FFFF7F,60.995555555555555
1937,#FFFFFF,179.09037037037038
1938,#000000,127.2325925925926
1938,#007FFF,83.14666666666666
1938,#7F0000,9.066666666666666
1938,#7F7F00,36.63407407407407
1938,#7F7F7F,154.37333333333333
1938,#FFFF00,12.082962962962963
1938,#FFFF7F,9.662222222222223
1938,#FFFFFF,269.3303703703704
1939,#000000,80.96
1939,#007F00,10.302222222222223
1939,#FFFF00,19.804444444444446
1940,#7F0000,12.346666666666668
1940,#7FFF7F,93.00444444444445
1940,#FFFF7F,9.662222222222223
1940,#FFFFFF,64.52444444444444
1942,#000000,47.51111111111111
1942,#7F7F7F,16.88888888888889
1942,#FFFFFF,108.28444444444445
1944,#000000,145.11111111111111
1944,#007F00,12.026666666666666
1944,#007F7F,27.128888888888888
1944,#7F7F00,26.61333333333333
1944,#7F7F7F,28.577777777777776
1944,#7FFFFF,20.08
1944,#FFFF00,47.54666666666667
1944,#FFFFFF,157.84
1945,#000000,54.38814814814815
1945,#7F7F7F,22.453333333333333
1945,#7FFF7F,12.201481481481482
1945,#FF7F7F,4.266666666666667
1945,#FFFF7F,28.21925925925926
1945,#FFFFFF,121.97925925925925
1946,#000000,10.749629629629629
1946,#7F0000,14.444444444444445
1946,#7F7F00,11.194074074074074
1946,#7F7F7F,9.042962962962962
1946,#FF7F00,16
1946,#FFFFFF,179.56148148148148
1947,#000000,126.37037037037037
1947,#7F0000,111.96444444444444
1947,#7F7F00,40.72296296296297
1947,#7F7F7F,23.35111111111111
1947,#7F7FFF,95.04592592592593
1947,#7FFFFF,16.293333333333333
1947,#FF7F00,16.767407407407408
1947,#FF7F7F,21.075555555555557
1947,#FF7FFF,22.79111111111111
1947,#FFFF7F,17.143703703703704
1947,#FFFFFF,143.0162962962963
1948,#000000,31.52888888888889
1948,#007F7F,13.597037037037037
1948,#7F7F7F,13.374814814814814
1948,#FF7F00,15.706666666666667
1948,#FFFF7F,5.131851851851852
1948,#FFFFFF,55.0962962962963
1949,#000000,122.88592592592592
1949,#7F0000,44.53925925925926
1949,#7F7F00,9.463703703703704
1949,#7F7F7F,53.57037037037037
1949,#7FFF7F,11.122962962962962
1949,#FFFF00,19.724444444444448
1949,#FFFF7F,149.29185185185185
1949,#FFFFFF,234.55407407407407
1950,#000000,3.9525925925925924
1950,#00007F,5.282962962962963
1950,#7F0000,22.720000000000002
1950,#7F007F,4.195555555555556
1950,#7F7F7F,33.12592592592593
1950,#FFFF7F,11.371851851851853
1950,#FFFFFF,128.34666666666666
1951,#000000,49.81333333333333
1951,#00007F,41.12
1951,#007F7F,16.764444444444443
1951,#007FFF,110.08000000000001
1951,#7FFF7F,21.013333333333335
1951,#7FFFFF,22.275555555555552
1951,#FF7F7F,14.642962962962963
1951,#FFFF7F,25.274074074074072
1951,#FFFFFF,74.02074074074073
1952,#000000,64.64
1952,#00007F,14.068148148148149
1952,#007F7F,4.835555555555556
1952,#7F0000,8.21037037037037
1952,#7F7F7F,45.29777777777778
1952,#7F7FFF,7.185185185185185
1952,#FF0000,8.717037037037038
1952,#FFFFFF,114.10962962962962
1953,#00007F,3.9407407407407407
1953,#007F7F,29.80148148148148
1953,#7F0000,9.902222222222221
1953,#7F7F7F,5.060740740740741
1953,#7FFFFF,5.706666666666667
1953,#FFFF7F,12.93925925925926
1953,#FFFFFF,161.80444444444444
1954,#000000,15.946666666666665
1954,#7F0000,18.586666666666666
1954,#FF7FFF,13.37777777777778
1954,#FFFFFF,127.28
1955,#000000,5.1970370370370365
1955,#7F7F7F,5.143703703703704
1955,#7F7FFF,7.718518518518519
1955,#7FFFFF,10.503703703703703
1955,#FFFFFF,8.571851851851852
1956,#000000,38.595555555555556
1956,#7F7F7F,35.40148148148148
1956,#FFFFFF,106.85629629629629
1957,#000000,14.945185185185187
1957,#00007F,7.300740740740741
1957,#FF0000,6.6251851851851855
1957,#FFFFFF,41.93777777777778
1958,#000000,62.34074074074074
1958,#7F0000,12.888888888888888
1958,#7F7F7F,97.04
1958,#7F7FFF,14.648888888888889
1958,#FF7F00,37.303703703703704
1958,#FFFF00,42.63111111111111
1958,#FFFF7F,32.43851851851852
1959,#7F0000,6.174814814814815
1959,#7F7F7F,3.478518518518518
1959,#7FFFFF,4.687407407407408
1959,#FFFFFF,39.62962962962963
1960,#000000,223.51999999999998
1960,#007FFF,10.24
1960,#FF007F,7.226666666666667
1960,#FF7FFF,5.075555555555556
1961,#000000,50.97777777777778
1961,#00007F,94.27555555555556
1961,#007F7F,41.26222222222222
1961,#7F7F7F,18.026666666666664
1962,#000000,145.87555555555556
1962,#00007F,4.352592592592592
1962,#7F0000,17.866666666666667
1962,#7F7F7F,94.1837037037037
1962,#7F7FFF,6.0237037037037044
1962,#FF7F7F,23.884444444444448
1962,#FFFFFF,122.50962962962963
1963,#000000,23.339259259259258
1963,#00007F,18.127407407407407
1963,#007F7F,19.33037037037037
1963,#7F7F7F,25.87851851851852
1963,#FF0000,93.12592592592593
1963,#FF7F00,21.522962962962964
1963,#FF7F7F,10.477037037037038
1963,#FFFF00,48.43851851851852
1963,#FFFFFF,126.26370370370371
1964,#000000,128.25481481481484
1964,#007F7F,3.958518518518519
1964,#7F7F7F,62.5362962962963
1964,#7F7FFF,4.044444444444444
1964,#FFFFFF,25.8962962962963
1965,#000000,90.98666666666668
1965,#00007F,86.51555555555555
1965,#007F7F,6.133333333333335
1965,#7F7F00,9.973333333333333
1965,#7F7F7F,34.7437037037037
1965,#FF7F00,9.893333333333334
1965,#FFFFFF,211.62666666666667
1966,#000000,7.9585185185185185
1966,#007F00,29.03111111111111
1966,#007F7F,33.208888888888886
1966,#7F7F7F,97.54666666666668
1966,#FF7F00,14.693333333333333
1966,#FF7F7F,6.168888888888889
1966,#FFFFFF,171.92
1967,#000000,62.382222222222225
