tconst,adult,backdrop_path,id,title,original_language,original_title,overview,poster_path,media_type,genre_ids,popularity,release_date,video,vote_average,vote_count
tt9028856,FALSE,/a4niJNmrK7fAtV59F75OxbVvgiE.jpg,550032,Christmas Wonderland,en,Christmas Wonderland,"Heidi, who initially left her small town of Pleasant Valley with the dream of one day becoming a successful painter, has put her own art on hold to excel as an art gallery curator. Now, a week before the gallery’s big Christmas party, she must return home to watch her niece and nephew. She comes face to face with her high school love, Chris, now a teacher, and offers to help him find a new last-minute location for the Christmas dance.",/3QwvhdOZSNJdHbHcL9aIwp3l9mD.jpg,movie,"10770, 10749",16.768,2018-12-02,FALSE,6.064,179
tt9028872,FALSE,/6BKgqHM9VzsXXJjwACQrv56Oztg.jpg,550034,Entertaining Christmas,en,Entertaining Christmas,"Candace, daughter of lifestyle mogul Liz Livingstone, has never lived up to her mother’s standards. When a young girl posts a video begging Liz to help arrange a special Christmas party, Candace is sent in her place. As she struggles to prove herself worthy of running the company, Candace meets—and begins falling for—the girl’s uncle, a reporter writing an expose on her.",/9XC1hug2bGP1d6kIKKSFILTdJzf.jpg,movie,"10770, 10749, 10751",6.164,2018-12-15,FALSE,6.2,28
tt9028872,FALSE,/6BKgqHM9VzsXXJjwACQrv56Oztg.jpg,550034,Entertaining Christmas,en,Entertaining Christmas,"Candace, daughter of lifestyle mogul Liz Livingstone, has never lived up to her mother’s standards. When a young girl posts a video begging Liz to help arrange a special Christmas party, Candace is sent in her place. As she struggles to prove herself worthy of running the company, Candace meets—and begins falling for—the girl’s uncle, a reporter writing an expose on her.",/9XC1hug2bGP1d6kIKKSFILTdJzf.jpg,movie,"10770, 10749, 10751",6.164,2018-12-15,FALSE,6.2,28
tt9030506,FALSE,/n9f7JImtnDb53h5mti5T5FG2XpW.jpg,567616,Darci Lynne: My Hometown Christmas,en,Darci Lynne: My Hometown Christmas,"Darci Lynne Farmer and her puppet friends Petunia, Oscar, Katie and Edna perform with special musical guests, and visit Farmer's hometown.",/rfBwc1s9lIgUgE4ZkEjiP5pz9RL.jpg,movie,"35, 10751, 10402",3.042,2018-12-07,FALSE,10,1
tt9030506,FALSE,/n9f7JImtnDb53h5mti5T5FG2XpW.jpg,567616,Darci Lynne: My Hometown Christmas,en,Darci Lynne: My Hometown Christmas,"Darci Lynne Farmer and her puppet friends Petunia, Oscar, Katie and Edna perform with special musical guests, and visit Farmer's hometown.",/rfBwc1s9lIgUgE4ZkEjiP5pz9RL.jpg,movie,"35, 10751, 10402",3.042,2018-12-07,FALSE,10,1
tt9030506,FALSE,/n9f7JImtnDb53h5mti5T5FG2XpW.jpg,567616,Darci Lynne: My Hometown Christmas,en,Darci Lynne: My Hometown Christmas,"Darci Lynne Farmer and her puppet friends Petunia, Oscar, Katie and Edna perform with special musical guests, and visit Farmer's hometown.",/rfBwc1s9lIgUgE4ZkEjiP5pz9RL.jpg,movie,"35, 10751, 10402",3.042,2018-12-07,FALSE,10,1
tt9033308,FALSE,/2lwqylAaPlOH1kewf9leZHJX8Mw.jpg,550075,Welcome to Christmas,en,Welcome to Christmas,"Resort developer Madison Lane is tasked with finding a location for a new ski resort. Her boss tells her to take a trip to Christmas, Colorado, to consider the location. On her way into town, Madison has a minor fender-bender with the town’s welcome sign. Town Sheriff Gage McBride gives Madison a ride into town so she can attend her meeting with the mayor while the car is towed and repaired. Little does Madison know that the town is on a mission to convince Madison that Christmas is the best place for the new ski resort.",/mAkk1n0ilXwF1GIN87iNyygl77Z.jpg,movie,"10749, 18, 10770",11.66,2018-12-09,FALSE,6.014,37
tt9033308,FALSE,/2lwqylAaPlOH1kewf9leZHJX8Mw.jpg,550075,Welcome to Christmas,en,Welcome to Christmas,"Resort developer Madison Lane is tasked with finding a location for a new ski resort. Her boss tells her to take a trip to Christmas, Colorado, to consider the location. On her way into town, Madison has a minor fender-bender with the town’s welcome sign. Town Sheriff Gage McBride gives Madison a ride into town so she can attend her meeting with the mayor while the car is towed and repaired. Little does Madison know that the town is on a mission to convince Madison that Christmas is the best place for the new ski resort.",/mAkk1n0ilXwF1GIN87iNyygl77Z.jpg,movie,"10749, 18, 10770",11.66,2018-12-09,FALSE,6.014,37
tt9033308,FALSE,/2lwqylAaPlOH1kewf9leZHJX8Mw.jpg,550075,Welcome to Christmas,en,Welcome to Christmas,"Resort developer Madison Lane is tasked with finding a location for a new ski resort. Her boss tells her to take a trip to Christmas, Colorado, to consider the location. On her way into town, Madison has a minor fender-bender with the town’s welcome sign. Town Sheriff Gage McBride gives Madison a ride into town so she can attend her meeting with the mayor while the car is towed and repaired. Little does Madison know that the town is on a mission to convince Madison that Christmas is the best place for the new ski resort.",/mAkk1n0ilXwF1GIN87iNyygl77Z.jpg,movie,"10749, 18, 10770",11.66,2018-12-09,FALSE,6.014,37
tt9033634,FALSE,/2LmRs5tgA5tGIZUKzB6W6LS4lng.jpg,550025,Christmas in Evergreen: Letters to Santa,en,Christmas in Evergreen: Letters to Santa,"Lisa's trip home to Evergreen for the holidays finds her shepherding an effort to save the town's beloved general store, fulfilling the wishes of a Christmas past and finding a romance full of Christmas magic.",/c7sbYi97TdjSPwUboF802yWidPP.jpg,movie,"10751, 10749, 10770",20.853,2018-11-18,FALSE,7,48
