chapter,place,title,date,location,year,latitude,longitude
rladies,ribeirao-preto,Introdução aos métodos comparativos filogenéticos,2023-09-16,online,2023,-21.1776315,-47.8100983
rladies,mendoza,Introducción a R: Introducción a la confección de informes con Quarto ,2023-09-15,online,2023,-34.787093049999996,-68.43818677312292
rladies,manchester,R-Ladies at Gravitas - Career Pathways Panel,2023-09-14,inperson,2023,53.4794892,-2.2451148
rladies,mendoza,Introducción a R: Visualización de datos con ggplot2,2023-09-14,online,2023,-34.787093049999996,-68.43818677312292
rladies,bariloche,"GRUPO 3. TALLER DE ESTUDIO LIBRO ""R PARA CIENCIA DE DATOS""",2023-09-14,online,2023,-41.1334421,-71.3098425
rladies,vancouver,R beginner workshop series - Part 1!,2023-09-13,online,2023,49.2608724,-123.113952
rladies,mendoza,Introducción a R: manipulación de datos utilizando el ecosistema Tidyverse,2023-09-13,online,2023,-34.787093049999996,-68.43818677312292
rladies,mendoza,Introducción al lenguaje de programación estadístico R,2023-09-12,online,2023,-34.787093049999996,-68.43818677312292
rladies,st-louis,Project Oriented Workflows,2023-09-11,online,2023,38.6280278,-90.1910154
rladies,paris,Generative AI for R Programmers,2023-09-09,online,2023,48.8534951,2.3483915
rladies,lagos,Generative AI for R Programmers,2023-09-09,online,2023,6.4550575,3.3941795
rladies,buenos-aires,Introducción al Análisis de la Encuesta Permanente de Hogares con R,2023-09-07,inperson,2023,-34.6075682,-58.4370894
rladies,bariloche,"Análisis multivariado para datos biológicos, un primer acercamiento.",2023-08-31,inperson,2023,-41.1334421,-71.3098425
rladies,philly,"The 3 Rs of R Coding: Reduce, Reuse, and Reproduce",2023-08-29,online,2023,39.9527237,-75.1635262
rladies,taipei,AI & VR in Sports,2023-08-28,online,2023,25.0375198,121.5636796
rladies,rome,R/Bioconductor watch party for #BioC2023 ,2023-08-28,inperson,2023,41.8933203,12.4829321
rladies,jakarta,18-th Meetup: Data Science Workflow Essentials: A Practical Demonstration in R,2023-08-26,online,2023,-6.175247,106.8270488
rladies,cuernavaca,Trabajando con GitHub desde RStudio,2023-08-24,online,2023,18.9218274,-99.2342282
rladies,medellin,R para análisis de confiabilidad en industrias de alto riesgo,2023-08-23,online,2023,6.2697018,-75.60252574475943
rladies,abuja,Working with JavaScript in R,2023-08-23,inperson,2023,9.0643305,7.4892974
rladies,rtp,[ONLINE] #tidytuesday Work Group,2023-08-22,online,2023,35.8569851,-78.8682511
rladies,santa-barbara,Summer Mix and Mingle,2023-08-22,inperson,2023,34.4221319,-119.702667
rladies,seattle,R-Ladies Social / Post-Cascadia R Conference ,2023-08-19,inperson,2023,47.6038321,-122.330062
rladies,zurich,oRganized: how do you structure your R-work?,2023-08-16,inperson,2023,47.3744489,8.5410422
rladies,lagos,Hacknosis: Optimizing Patient Experiences,2023-08-14,online,2023,6.4550575,3.3941795
rladies,remote,Debugging in R with Shannon Pileggi,2023-08-14,online,2023,43.0059455,-123.8925908
rladies,santa-rosa,Campeonas del Software libre para ciencia. ,2023-08-08,online,2023,38.4404925,-122.7141049
rladies,buenos-aires,Campeonas del Software libre para ciencia,2023-08-08,online,2023,-34.6075682,-58.4370894
rladies,newyork,[Online] Lessons from COVID-19: Non-random Missing Data and Its Consequences,2023-08-08,online,2023,48.1187679,11.5485464
rladies,morelia,Graficando al Centro de Ciencias Matemáticas,2023-07-31,inperson,2023,19.7027116,-101.1923818
rladies,taipei,入門 AI 開源的生態系平台 Hugging Face,2023-07-31,online,2023,25.0375198,121.5636796
rladies,cuernavaca,Generación de Proyectos en RStudio,2023-07-27,online,2023,18.9218274,-99.2342282
rladies,rome,Mastering R: An Intensive Crash Course for Data Enthusiasts!,2023-07-27,online,2023,41.8933203,12.4829321
rladies,newyork,R-ladies New York Summer Social,2023-07-23,inperson,2023,48.1187679,11.5485464
rladies,coventry,Introduction to Bayesian GLMs with brms,2023-05-11,online,2023,52.4081812,-1.510477
rladies,coventry,the Basics of Visualising Map Data in R using ggplot2,2023-04-05,online,2023,52.4081812,-1.510477
rladies,coventry,an introduction to Bayesian statistics in R.,2023-03-16,online,2023,52.4081812,-1.510477
rladies,zurich,R-Ladies Zürich Event on International Women‘s Day,2023-03-08,inperson,2023,47.3744489,8.5410422
rladies,tc,The Leap of Faith: Intro to Causal Inference,2023-03-02,online,2023,59.3318941,18.060944
rladies,taipei,淺談總經數據與金融市場應用,2023-02-27,online,2023,25.0375198,121.5636796
rladies,st-louis,Regular Expressions and Working with Text Strings ,2023-02-22,online,2023,38.6280278,-90.1910154
rladies,philly,TidyTuesday with R-Ladies Philly & Philly RUG,2023-02-15,online,2023,39.9527237,-75.1635262
rladies,rome,Introduction to Quarto,2023-02-13,online,2023,41.8933203,12.4829321
rladies,dc,Building a career as a Jill of all trades,2023-02-08,online,2023,4.6529539,-74.0835643
rladies,manchester,R-Ladies Mcr at N-Brown - third time lucky!,2023-01-31,inperson,2023,53.4794892,-2.2451148
rladies,newyork,R-Ladies Book Club,2023-01-28,online,2023,48.1187679,11.5485464
rladies,urmia,Species distribution modeling using R,2023-01-28,online,2023,61.4675143,23.2169112
rladies,cologne,Streamline Your Data Science Processes with GitHub Actions and Quarto,2023-01-27,online,2023,43.7218277,0.9774958
rladies,paris,Streamline Your Data Science Processes with GitHub Actions and Quarto,2023-01-27,online,2023,48.8534951,2.3483915
rladies,bergen,Auto-magical tables in R,2023-01-27,inperson,2023,60.3943055,5.3259192
rladies,bergen,Auto-magical tables in R,2023-01-27,online,2023,60.3943055,5.3259192
rladies,cuernavaca,Introducción a la Programación en R: Paradigmas de Programación,2023-01-26,online,2023,18.9218274,-99.2342282
rladies,cuernavaca,Introducción a la Programación en R: Paradigmas de Programación,2023-01-26,online,2023,18.9218274,-99.2342282
rladies,barcelona,Re-Launch Event R-Ladies & BarcelonaR |  R for Geospatial Data Sience,2023-01-25,inperson,2023,41.3828939,2.1774322
rladies,rtp,[ONLINE] Accessing Census Data in R through APIs,2023-01-25,online,2023,35.8569851,-78.8682511
rladies,ljubljana,DELAVNICA: Organizacija projekta v R ,2023-01-25,inperson,2023,46.0500268,14.5069289
rladies,st-louis,Intro to Linear Optimization with R,2023-01-24,online,2023,38.6280278,-90.1910154
rladies,rome,Machine learning operations with vetiver,2023-01-24,online,2023,41.8933203,12.4829321
rladies,irvine,Cross-Post for SoCal RUG: Building R Packages on Easy Mode,2023-01-24,online,2023,33.6856969,-117.8259819
rladies,morelia,Primera reunión: organización y temas,2023-01-24,inperson,2023,19.7027116,-101.1923818
rladies,utrecht,Boook club “Hands-On Machine Learning with R” - Chp14 - Support Vector Machines,2023-01-23,online,2023,52.080985600000005,5.12768396945229
rladies,stillwater,Spring semester social,2023-01-21,inperson,2023,36.1156306,-97.0585717
rladies,zurich,Pub Night,2023-01-20,inperson,2023,47.3744489,8.5410422
rladies,dc,Year end meet-and-greet and trivia!,2022-12-15,online,2022,4.6529539,-74.0835643
rladies,vienna,Getting to know golem - RLadies Vienna December Meetup 2022,2022-12-05,inperson,2022,48.2083537,16.3725042
rladies,zurich,Personalize your own ggplot theme,2022-12-01,inperson,2022,47.3744489,8.5410422
rladies,melbourne,Choose your own adventure: Tools for Open and Reproducible Research,2022-11-30,inperson,2022,-37.8142454,144.9631732
rladies,morelia,Gráficas de R ladies tercera sesión,2022-11-29,inperson,2022,19.7027116,-101.1923818
rladies,montevideo,R-encuentro RLadies & GURU,2022-11-29,inperson,2022,-34.9058916,-56.1913095
rladies,bergen,Winter meetup,2022-11-29,inperson,2022,60.3943055,5.3259192
rladies,taipei,使用 R 處理基因數據與視覺化 Genomic Data Processing and Visualization in R,2022-11-28,inperson,2022,25.0375198,121.5636796
rladies,helsinki,Data Manipulation with dplyr - Episode 1,2022-11-28,inperson,2022,60.1674881,24.9427473
rladies,bariloche,"GRUPO 3. TALLER DE ESTUDIO LIBRO ""R PARA CIENCIA DE DATOS""",2022-11-24,online,2022,-41.1334421,-71.3098425
rladies,buenos-aires,Creando tablas en {gt} con Spotify API & Bad Bunny,2022-11-23,online,2022,-34.6075682,-58.4370894
rladies,medellin,Introducción al Aprendizaje no Supervisado en R,2022-11-23,online,2022,6.2697018,-75.60252574475943
rladies,utrecht,"Book Club ""Machine Learning with R"" - Decision trees and Bagging",2022-11-21,online,2022,52.080985600000005,5.12768396945229
rladies,ribeirao-preto,Refletindo o pertencimento e a representatividade na Ciência,2022-11-17,online,2022,-21.1776315,-47.8100983
rladies,tc,November Social,2022-11-17,inperson,2022,59.3318941,18.060944
rladies,rtp,[ONLINE] R-Ladies 💙 Quarto,2022-11-17,online,2022,35.8569851,-78.8682511
rladies,dc,Introduction to R Shiny,2022-11-16,online,2022,4.6529539,-74.0835643
rladies,newyork,All Aboard Transportation and Data,2022-11-15,online,2022,48.1187679,11.5485464
rladies,goiania,Universo Tidyverse: Do R para SQL com o pacote dbplyr,2022-11-12,inperson,2022,-16.680882,-49.2532691
rladies,quito,Ven a celebrar los 10 AÑOS de R-Ladies ,2022-11-10,inperson,2022,-0.2201641,-78.5123274
rladies,guayaquil,Ven a celebrar los 10 AÑOS de R-Ladies,2022-11-10,online,2022,-2.1900563,-79.8868741
rladies,glasgow,An Introduction to UI/UX in Shiny,2022-11-10,online,2022,55.861155,-4.2501687
rladies,bariloche,"GRUPO 3. TALLER DE ESTUDIO LIBRO ""R PARA CIENCIA DE DATOS""",2022-11-10,online,2022,-41.1334421,-71.3098425
rladies,philly,IN-PERSON Happy Hour!,2022-11-09,inperson,2022,39.9527237,-75.1635262
rladies,manchester,POSTPONED: R-Ladies Mcr at N-Brown,2022-11-09,inperson,2022,53.4794892,-2.2451148
rladies,den-bosch,Boook club “Hands-On Machine Learning with R” #5 - Chp7 Splines - Chp 8 KNN,2022-11-07,online,2022,51.6889387,5.303116
rladies,bogor,Not real VEGAN: Translate metabarcoding sequences to ecological understanding,2022-11-05,online,2022,-6.5962986,106.7972421
rladies,cuernavaca,Gráficos para publicación,2022-11-04,online,2022,18.9218274,-99.2342282
rladies,stillwater,Shut Up and Code,2022-11-03,online,2022,36.1156306,-97.0585717
rladies,newyork,Join our team! R-Ladies NYC Board Information Session,2022-11-01,online,2022,48.1187679,11.5485464
rladies,taipei,Microsoft Ignite x R-Ladies Taipei,2022-10-31,online,2022,25.0375198,121.5636796
rladies,talca,Cosas terroríficas que pasan al trabajar con datos y cómo perderles el miedo,2022-10-31,online,2022,-35.4265343,-71.6660322
rladies,valparaiso,Cosas terroríficas que pasan al trabajar con datos y cómo perderles el miedo,2022-10-31,online,2022,-32.5976089,-70.8529753
rladies,concepcion,Cosas terroríficas que pasan al trabajar con datos y cómo perderles el miedo,2022-10-31,online,2022,-36.8270795,-73.0502399
rladies,scl,Cosas terroríficas que pasan al trabajar con datos y cómo perderles el miedo,2022-10-31,online,2022,-33.4093715,-70.7908989
rladies,abuja,Running code while we're sleeping: Introduction to GitHub Actions for R Users,2022-10-29,inperson,2022,9.0643305,7.4892974
rladies,gaborone,Introduction to R,2022-10-29,inperson,2022,-24.6581357,25.9088474
rladies,ljubljana,Let's meet for the first time,2022-10-27,inperson,2022,46.0500268,14.5069289
rladies,bariloche,"GRUPO 3. TALLER DE ESTUDIO LIBRO ""R PARA CIENCIA DE DATOS""",2022-10-27,online,2022,-41.1334421,-71.3098425
rladies,st-louis,Intro to Quarto with Isabella Velásquez,2022-10-27,online,2022,38.6280278,-90.1910154
rladies,tunis,Automate the web with RSelenium,2022-10-26,online,2022,36.8002068,10.1857757
rladies,london,HYBRID: Styling {ggplot2} graphics for accessibility,2022-10-26,inperson,2022,51.5074456,-0.1277653
rladies,dc,Communicating Data Science: Lessons Learned,2022-10-26,online,2022,4.6529539,-74.0835643
rladies,utrecht,Book club “Hands-On Machine Learning with R” #4 - Regularised Regression,2022-10-24,online,2022,52.080985600000005,5.12768396945229
rladies,montreal,R-Ladies Meeting: TBC,2022-10-20,inperson,2022,45.5031824,-73.5698065
rladies,montreal,R-Ladies Meeting: TBC,2022-10-20,inperson,2022,45.5031824,-73.5698065
rladies,rtp,[ONLINE] Falling Into Data Science with R 🍂,2022-10-19,online,2022,35.8569851,-78.8682511
rladies,morelia,Segunda sesión gráficas de mujeres ,2022-10-18,inperson,2022,19.7027116,-101.1923818
rladies,st-louis,Clinical Reporting with {gtsummary},2022-10-17,online,2022,38.6280278,-90.1910154
rladies,rtp,[UPDATE: NOW VIRTUAL] Falling into Tidyverse,2022-10-14,online,2022,35.8569851,-78.8682511
rladies,stillwater,Shut Up and Code,2022-10-14,online,2022,36.1156306,-97.0585717
rladies,paris,Introduction to {ggplot2} in R,2022-10-13,online,2022,48.8534951,2.3483915
rladies,melbourne,How I use workflowr to create reproducible analyses,2022-10-13,online,2022,-37.8142454,144.9631732
rladies,cuernavaca,Gráficos Avanzados,2022-10-13,online,2022,18.9218274,-99.2342282
rladies,philly,Collages and Patterns: Making art in R,2022-10-12,online,2022,39.9527237,-75.1635262
rladies,budapest,tRansfoRmeRs,2022-10-11,inperson,2022,47.4978918,19.0401609
rladies,st-louis,Intro to Iteration with Merve Ileri Tayar,2022-10-11,online,2022,38.6280278,-90.1910154
rladies,den-bosch,"Boook club ""Hands-On Machine Learning with R"" - THIRD meeting!",2022-10-10,online,2022,51.6889387,5.303116
rladies,newyork,Workshop: Writing Meaningful Alt-Texts for Data Visualizations in R,2022-10-10,online,2022,48.1187679,11.5485464
rladies,villahermosa,Desarrollando modelos lineales y generalizados con GGPLOT2,2022-10-08,online,2022,18.0018152,-92.9330401483751
rladies,goiania,Metanálise: Uma introdução a partir dos pacotes metaDigitise e metafor,2022-10-08,inperson,2022,-16.680882,-49.2532691
rladies,gaborone,Sentiment Analysis using R ,2022-10-08,online,2022,-24.6581357,25.9088474
rladies,bariloche,"GRUPO 3. TALLER DE ESTUDIO LIBRO ""R PARA CIENCIA DE DATOS""",2022-10-06,online,2022,-41.1334421,-71.3098425
rladies,stillwater,Shut Up and Code,2022-10-06,online,2022,36.1156306,-97.0585717
rladies,manchester,POSTPONED DUE TO RAIL STRIKES: R-Ladies Mcr at N-Brown,2022-10-05,inperson,2022,53.4794892,-2.2451148
rladies,st-louis,Wrangling Data in the Tidyverse,2022-10-04,online,2022,38.6280278,-90.1910154
rladies,san-diego,SoCal R Users Group: Advanced Regression Models with R Applications,2022-10-01,inperson,2022,32.7174202,-117.1627728
rladies,urmia,Book Club R4DS- in Persian,2022-10-01,online,2022,61.4675143,23.2169112
rladies,dammam,1st Steps in Tidyverse,2022-09-30,online,2022,26.4367824,50.1039991
rladies,paris,Bringing your plots to cloud nine with {Plotnine},2022-09-30,online,2022,48.8534951,2.3483915
rladies,cologne,Bringing your plots to cloud nine with {Plotnine},2022-09-30,online,2022,43.7218277,0.9774958
rladies,stillwater,Shut Up and Code,2022-09-30,online,2022,36.1156306,-97.0585717
rladies,philly,"Webscraping, Geocoding & Interactive Map-Making with Center City Sips Data",2022-09-29,online,2022,39.9527237,-75.1635262
rladies,st-louis,Happy 5th Anniversary to Us! Join us for a Virtual Cocktail Class to Celebrate,2022-09-28,online,2022,38.6280278,-90.1910154
rladies,london,REMOTE: Using Shiny apps for dashboards in the NHS ,2022-09-28,online,2022,51.5074456,-0.1277653
rladies,brisbane,Making your workflow work for you,2022-09-28,inperson,2022,-27.4689682,153.0234991
rladies,melbourne,Switching between space and time: Spatio-temporal analysis with cubble,2022-09-27,online,2022,-37.8142454,144.9631732
rladies,morelia,Gráficas de R ladies,2022-09-27,inperson,2022,19.7027116,-101.1923818
rladies,taipei,資訊安全領域中的異常偵測 Anomaly detection in information security,2022-09-26,online,2022,25.0375198,121.5636796
rladies,den-bosch,"Boook club ""Hands-On Machine Learning with R"" - Second meeting!",2022-09-26,online,2022,51.6889387,5.303116
rladies,utrecht,"Book club ""Hands-On Machine Learning with R"" - Second meeting! ",2022-09-26,online,2022,52.080985600000005,5.12768396945229
rladies,vancouver,Vancouver Datajam's Datafest 2022 ,2022-09-26,online,2022,49.2608724,-123.113952
rladies,goiania,Universo Tidyverse: Transformando dados com o pacote dplyr,2022-09-24,inperson,2022,-16.680882,-49.2532691
rladies,queretaro,Tercer Encuentro Anual de R-Ladies México,2022-09-24,inperson,2022,20.5927744,-100.3902245
rladies,cdmx,3er. Encuentro Anual de R-Ladies México 🇲🇽,2022-09-24,inperson,2022,19.4326296,-99.1331785
rladies,xalapa,3er. Encuentro Anual de R-Ladies México 🇲🇽 ,2022-09-24,online,2022,19.5408338,-96.9146374
rladies,sancristobal,R-Ladies México | 3er Encuentro Anual,2022-09-24,online,2022,43.2112073,-3.1321163
rladies,comitan,R-LADIES MEXICO |   3er  ENCUENTRO ANUAL,2022-09-24,inperson,2022,16.2441097,-92.1348514
rladies,cuernavaca,3er Encuentro Anual Rladies Mexico. Gráficas con ggplot2,2022-09-24,online,2022,18.9218274,-99.2342282
rladies,morelia,Encuentro nacional de R ladies,2022-09-24,inperson,2022,19.7027116,-101.1923818
rladies,ciudad-obregon,3er. Encuentro Anual RLadies México. Gráficas con ggplot2,2022-09-24,online,2022,27.4846619,-109.9337782
rladies,dc,How to spatial modeling with R,2022-09-22,online,2022,4.6529539,-74.0835643
rladies,newyork,R-Ladies NYC Lightning Talks - RSVP and Call for Speakers,2022-09-20,online,2022,48.1187679,11.5485464
rladies,seattle,End of Summer Social,2022-09-20,inperson,2022,47.6038321,-122.330062
rladies,seattle,Introduction to R,2022-09-20,online,2022,47.6038321,-122.330062
rladies,jujuy,Primera Reunión R Ladies Jujuy - presencial!,2022-09-19,inperson,2022,-23.3161458,-65.7595288
rladies,ribeirao-preto,Visualização de dados com 'ggplot2' e 'dplyr',2022-09-16,online,2022,-21.1776315,-47.8100983
rladies,bariloche,Análisis bibliométrico en R como complemento de revisiones bibliográficas,2022-09-16,inperson,2022,-41.1334421,-71.3098425
rladies,montreal,R-Ladies Meeting: TBC,2022-09-15,inperson,2022,45.5031824,-73.5698065
rladies,montreal,R-Ladies Meeting: TBC,2022-09-15,inperson,2022,45.5031824,-73.5698065
rladies,zurich,Creative CVs with RMarkdown,2022-09-13,inperson,2022,47.3744489,8.5410422
rladies,philly,September BookClub - ISLR Tidymodels Lab,2022-09-13,online,2022,39.9527237,-75.1635262
rladies,johannesburg,How to Send Email With R,2022-09-13,online,2022,-26.205,28.049722
rladies,den-bosch,"Boook club ""Hands-On Machine Learning with R"" - First meeting! ",2022-09-12,online,2022,51.6889387,5.303116
rladies,utrecht,"Book club ""Hands-On Machine Learning with R"" - First meeting! ",2022-09-12,online,2022,52.080985600000005,5.12768396945229
rladies,goiania,LINGUAGEM R COMO FERRAMENTA DE SIG,2022-09-10,inperson,2022,-16.680882,-49.2532691
rladies,guadalajara,Visualización de las violencias contra las mujeres en México.,2022-09-10,online,2022,20.6720375,-103.338396
rladies,morelia,Gráficas de R ladies,2022-09-08,inperson,2022,19.7027116,-101.1923818
rladies,paris,"Keeping it Tidy: Using the Tidyverse to Organize, Transform, and Visualize Data",2022-09-08,online,2022,48.8534951,2.3483915
rladies,bariloche,"GRUPO 3. TALLER DE ESTUDIO LIBRO ""R PARA CIENCIA DE DATOS""",2022-09-08,online,2022,-41.1334421,-71.3098425
rladies,canberra,Venables Award Winners 2022 seminar watch party,2022-09-08,inperson,2022,-35.2975906,149.1012676
rladies,chennai,Data Analysis Using Principal Component Analysis,2022-09-04,online,2022,13.0836939,80.270186
rladies,stillwater,Inaugural Welcome Event - In Person,2022-09-03,inperson,2022,36.1156306,-97.0585717
rladies,stillwater,Welcome Event - In Person,2022-09-03,inperson,2022,36.1156306,-97.0585717
rladies,urmia,Book Club session8: Programming - In Persian,2022-09-02,online,2022,61.4675143,23.2169112
rladies,melbourne,"The workflow of tidy data, constructing plots and making data-driven decisions",2022-09-01,inperson,2022,-37.8142454,144.9631732
rladies,medellin,Introducción a Machine Learning en R,2022-08-31,inperson,2022,6.2697018,-75.60252574475943
rladies,morelia,Buscando bases de datos para nuestras reuniones del semestre,2022-08-30,inperson,2022,19.7027116,-101.1923818
rladies,taipei,具有隱私保護的自然影像合成,2022-08-29,online,2022,25.0375198,121.5636796
rladies,ribeirao-preto,Acessando a API do Google Earth Engine com o 'rgee',2022-08-27,online,2022,-21.1776315,-47.8100983
rladies,bariloche,"GRUPO 3. TALLER DE ESTUDIO LIBRO ""R PARA CIENCIA DE DATOS""",2022-08-25,online,2022,-41.1334421,-71.3098425
rladies,urmia,Remote Sensing in R- سنجش از دور در آر,2022-08-25,online,2022,61.4675143,23.2169112
rladies,lima,"Grupo de estudio: ""Mastering Shiny""- Evento de cierre",2022-08-24,online,2022,-12.0621065,-77.0365256
rladies,rtp,[ONLINE] #tidytuesday Work Group,2022-08-23,inperson,2022,35.8569851,-78.8682511
rladies,irvine,Cross-Post from SoCal RUG: I fit a model... now what?,2022-08-23,online,2022,33.6856969,-117.8259819
rladies,bogor,R Ladies Bogor 14th meet up: Mixture Modelling in R with case study,2022-08-20,inperson,2022,-6.5962986,106.7972421
rladies,newyork,R-Ladies Book Club,2022-08-20,inperson,2022,48.1187679,11.5485464
rladies,montreal,R-Ladies Meeting: TBC,2022-08-18,inperson,2022,45.5031824,-73.5698065
rladies,philly,August BookClub - ISLR Tidymodels Lab,2022-08-18,online,2022,39.9527237,-75.1635262
rladies,montreal,R-Ladies Meeting: TBC,2022-08-18,inperson,2022,45.5031824,-73.5698065
rladies,montreal,R-Ladies Meeting: TBC,2022-08-18,inperson,2022,45.5031824,-73.5698065
rladies,bergen,Making and publishing your first R package *** Virtual attendance***,2022-08-17,online,2022,60.3943055,5.3259192
