source,target,value
1,60,0.8149777416080267
1,161,0.8101214350872162
1,226,0.8061311373784439
1,128,0.8043739265775551
1,29,0.8024496753153406
1,72,0.8015087220893737
1,160,0.8006187742031114
2,190,0.8176256588298124
3,69,0.8254629186087304
3,160,0.8157120532182106
3,46,0.8136060452777365
3,27,0.8101305035375788
3,23,0.809878815527545
3,10,0.8094292621116019
3,122,0.8091389981208359
4,43,0.8132835901132474
4,204,0.8090431903470063
4,68,0.8079419768443323
5,105,0.8532131292807977
5,169,0.8384728529633124
5,182,0.83588137217428
5,42,0.8246521067496567
5,235,0.8208034668641406
5,98,0.8183348754549273
5,54,0.8135497577943237
5,170,0.8130565382102478
5,171,0.81125874255004915
5,9,0.8031444995039086
5,48,0.803057058523865
6,162,0.8159409820250872
6,8,0.8134518709392984
6,12,0.8110774564398597
6,14,0.8036511933449679
7,144,0.8565725158884795
7,89,0.8521082496312444
7,172,0.8487946812213976
7,87,0.8478613415665616
7,151,0.846186380741786
7,85,0.842331476081242
7,91,0.8421547239082485
7,234,0.8403706638778528
7,184,0.8343931170745472
7,249,0.8338929715002268
7,138,0.8327176748728232
7,60,0.8320412104404853
7,164,0.8308358539115714
7,233,0.8305954399521591
7,122,0.8302048101547426
7,67,0.8300884715176198
7,148,0.8276039937689298
7,213,0.826733105721114
7,129,0.8264423417873282
7,128,0.8254793475033958
7,92,0.8247347579746954
7,140,0.8245046319627576
7,123,0.8229283943490012
7,132,0.8216041517810223
7,90,0.8215655323521083
7,126,0.8205259903765845
7,9,0.8201373567462736
7,134,0.8188963231614355
7,226,0.8173855956704521
7,55,0.8173472428059556
7,98,0.8170339670742076
7,169,0.8169434381816443
7,252,0.8163457603759492
7,157,0.8159146627451266
7,78,0.8156356769272481
7,228,0.81514738983705
7,194,0.8150906767957533
7,136,0.8149627400416111
7,146,0.8142375650434818
7,204,0.8138946152997735
7,46,0.8137402745778874
7,106,0.8135052748831451
7,161,0.8128538361205201
7,69,0.8124354156121758
7,33,0.812304435889127
7,159,0.8121683082962985
7,203,0.8117129394707905
7,223,0.8116030508883669
7,64,0.8106048261968848
7,214,0.8100062543058403
7,23,0.8099499286147425
7,100,0.8099280754299704
7,114,0.809635660333259
7,38,0.8091340948487719
7,237,0.8082527086343325
7,220,0.807764251808908
7,147,0.8077091025577111
7,118,0.8074701377613628
7,176,0.8064657358235925
