album_name,ep,album_release,track_number,track_name,artist,featuring,bonus_track,promotional_release,single_release,track_release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode,line,lyric,element,element_artist
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,4,All the hell you gave me?,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,5,"'Cause I loved you, I swear I loved you",Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,6,'Til my dying day,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,7,I didn't have it in myself to go with grace,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,8,"And you're the hero flying around, saving face",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,9,"And if I'm dead to you, why are you at the wake?",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,10,"Cursing my name, wishing I stayed",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,11,Look at how my tears ricochet,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,12,"We gather stones, never knowing what they'll mean",Verse 2,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,13,"Some to throw, some to make a diamond ring",Verse 2,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,14,You know I didn't want to have to haunt you,Verse 2,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,15,But what a ghostly scene,Verse 2,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,16,You wear the same jewels that I gave you,Verse 2,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,17,As you bury me,Verse 2,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,18,I didn't have it in myself to go with grace,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,19,"'Cause when I'd fight, you used to tell me I was brave",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,20,"And if I'm dead to you, why are you at the wake?",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,21,"Cursing my name, wishing I stayed",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,22,Look at how my tears ricochet,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,23,And I can go anywhere I want,Bridge,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,24,"Anywhere I want, just not home",Bridge,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,25,"And you can aim for my heart, go for blood",Bridge,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,26,But you would still miss me in your bones,Bridge,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,27,And I still talk to you (When I'm screaming at the sky),Bridge,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,28,And when you can't sleep at night (You hear my stolen lullabies),Bridge,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,29,I didn't have it in myself to go with grace,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,30,And so the battleships will sink beneath the waves,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,31,"You had to kill me, but it killed you just the same",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,32,"Cursing my name, wishing I stayed",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,33,You turned into your worst fears,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,34,"And you're tossing out blame, drunk on this pain",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,35,Crossing out the good years,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,5,my tears ricochet,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,FALSE,C,major,C major,36,"And you're cursing my name, wishing I stayed",Chorus,Taylor Swift
