name,type,ra,dec,image
Arp 142,Galaxy,144.4358,2.75417,http://commons.wikimedia.org/wiki/Special:FilePath/Heic1311a.jpg
Arp 147,Galaxy,47.82875,1.314722,http://commons.wikimedia.org/wiki/Special:FilePath/Arp%20147.jpg
Arp 272,Galaxy,241.37875,17.76833,http://commons.wikimedia.org/wiki/Special:FilePath/Hubble%20Interacting%20Galaxy%20NGC%206050%20%282008-04-24%29.jpg
Arp 273,Galaxy,35.3696096786114,39.375589151782,http://commons.wikimedia.org/wiki/Special:FilePath/UGC%201810%20and%20UGC%201813%20in%20Arp%20273%20%28captured%20by%20the%20Hubble%20Space%20Telescope%29.jpg
Arp 81,Galaxy,273.24,68.35889,http://commons.wikimedia.org/wiki/Special:FilePath/Hubble%20Interacting%20Galaxy%20NGC%206621%20%282008-04-24%29.jpg
Arp 87,Galaxy,175.1843203373004,22.42931210047556,http://commons.wikimedia.org/wiki/Special:FilePath/Arp87full.jpg
Atlas,Moon,57.290594105,24.05341674361,http://commons.wikimedia.org/wiki/Special:FilePath/Plei%20scheme.jpg
Atlas,Star,57.290594105,24.05341674361,http://commons.wikimedia.org/wiki/Special:FilePath/Plei%20scheme.jpg
BM Scorpii,Star,265.2439446757825,-32.2144630353034,NA
Barnard 163,Nebula,325.56417,56.72889,http://commons.wikimedia.org/wiki/Special:FilePath/Barnard%20163%20%28noao0702b%29.jpg
Barnard 175,Nebula,333.5,69.9,NA
Barnard 92,Nebula,273.875,-18.217,NA
Barnard 93,Nebula,274.225,-18.067,NA
Barnard's Loop,Nebula,81.875,-3.967,http://commons.wikimedia.org/wiki/Special:FilePath/Nebula-Barnard%27s-Loop.jpeg
Beehive Cluster,Cluster,130.1,19.6667,http://commons.wikimedia.org/wiki/Special:FilePath/Messier%2044%202018.jpg
Bellatrix,Star,81.282763557,6.349703264,http://commons.wikimedia.org/wiki/Special:FilePath/Bellatrix%20DSS.png
Beta Centauri,Star,210.955855623,-60.373035162,http://commons.wikimedia.org/wiki/Special:FilePath/Centaurus%20constellation%20map.svg
Beta Chamaeleontis,Star,184.58676960730585,-79.31223407416667,NA
Beta Hydri,Star,6.437793155,-77.25424612,http://commons.wikimedia.org/wiki/Special:FilePath/Hydrus%20IAU.svg
Beta Ophiuchi,Star,265.86813295741786,4.56730366846917,NA
Beta Pictoris,Star,86.82119870875,-51.06651142639,http://commons.wikimedia.org/wiki/Special:FilePath/Around%20Beta%20Pictoris%20%28cropped%29.jpg
Beta Scorpii,Star,241.359292,-19.805389,http://commons.wikimedia.org/wiki/Special:FilePath/Scorpius%20charta.png
Betelgeuse,Star,88.792938991,7.407063995,http://commons.wikimedia.org/wiki/Special:FilePath/Location%20of%20the%20binary%20system%20of%20Betelgeuse%20in%20constellation%20Orion.png
Big Dipper,Constellation,247.0230492984283,-49.2111141752625,http://commons.wikimedia.org/wiki/Special:FilePath/Big%20Dipper%2020210116.jpg
Big Dipper,Asteroid,247.0230492984283,-49.2111141752625,http://commons.wikimedia.org/wiki/Special:FilePath/Big%20Dipper%2020210116.jpg
Black Eye Galaxy,Galaxy,194.1820667,21.6826583,http://commons.wikimedia.org/wiki/Special:FilePath/Blackeyegalaxy.jpg
Boomerang Nebula,Nebula,191.1920417313022,-54.5203769421111,http://commons.wikimedia.org/wiki/Special:FilePath/Boomerang%20nebula.jpg
Bubble Nebula,Nebula,296.132458,-14.699167,NA
Butterfly Cluster,Cluster,265.0833,-32.2533,http://commons.wikimedia.org/wiki/Special:FilePath/M6a.jpg
CL0024+17,Cluster,6.65,17.14333,http://commons.wikimedia.org/wiki/Special:FilePath/CL0024%2B17opt.jpg
CTB 1,Nebula,359.8042,62.43,http://commons.wikimedia.org/wiki/Special:FilePath/CTB1%20Supernova%20Remnant%20in%20Cassiopeia.jpg
CW Leonis,Star,146.98875,13.27889,http://commons.wikimedia.org/wiki/Special:FilePath/CW%20Leonis%20UV%20%28cropped%29.jpg
Calabash Nebula,Nebula,115.5706125,-14.7139444,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Calabash%20clash.jpg
California Nebula,Nebula,60.825,36.4217,http://commons.wikimedia.org/wiki/Special:FilePath/California%20Neb%202007.jpg
Canopus,Star,95.987957829,-52.695661384,http://commons.wikimedia.org/wiki/Special:FilePath/Canopus.jpg
Capella,Star,79.172327944,45.99799147,http://commons.wikimedia.org/wiki/Special:FilePath/Auriga%20constellation%20map.svg
Carina Nebula,Nebula,161.07917,-59.88917,http://commons.wikimedia.org/wiki/Special:FilePath/Eta%20small%20Giuseppe%20Donatiello%20%2818835023732%29.jpg
Cassiopeia A,Nebula,350.85,58.815,http://commons.wikimedia.org/wiki/Special:FilePath/Heic0609.jpg
Castor,Star,113.64947164,31.888282216,http://commons.wikimedia.org/wiki/Special:FilePath/Gemini%20constellation%20map.png
Cat's Eye Nebula,Nebula,269.639184383106,66.6329858227251,http://commons.wikimedia.org/wiki/Special:FilePath/Catseye-big.jpg
Cave Nebula,Nebula,344.2746,62.6359,http://commons.wikimedia.org/wiki/Special:FilePath/Cave%20Nebula.jpg
Cederblad 214,Nebula,0.5,67.2,NA
Centaurus A,Galaxy,201.365062879333,-43.019112667361,http://commons.wikimedia.org/wiki/Special:FilePath/ESO%20Centaurus%20A%20LABOCA.jpg
Circinus X-1,Star,230.170208,-57.166694,http://commons.wikimedia.org/wiki/Special:FilePath/Circinus%20X-1.jpg
