chapter                        ,keywords
rladies-copenhagen             ,"Machine Learning, upskilling, ggplot2, Customer Retention, Exploration, Big Data, Healthcare, Natural Language Processing, April, the ball"
rladies-cordoba                ,"Cierre, año, Predictive modeling, text, tidy data principles, - useR, una reunión"
rladies-cotonou                ,"1er Meetup, networking"
rladies-coventry               ," An Python, R Users, ggplot2, Git, GitHub, RStudio, R Markdown"
rladies-cuernavaca             ,"RStudio,  Generación, Tidyverse, ggplot2, ANOVA, Meetup, GitHub, la Programación"
rladies-curitiba               ,"Visualização, mapa, dados, COVID-19"
rladies-cusco                  ,"PRESENTACIÓN,  LADIES, CUSCO, una reunión"
rladies-dallas                 ," Coffee, Code, UT-Dallas, Workshop, the data science workflow, ""Journey, the tidyverse, Dr. Che Smith"
rladies-dammam                 ," ggplot, 1st Steps, Tidyverse, legal backgrounds, an Epidemiologist, real-world data, A Little JS, a Long Way, your bag"
rladies-darwin                 ,"The Art, Design, Software, Experimental Design, The Art of Design"
rladies-dc                     ,"Movie night, TBD, Bars, Books, Data Science, R for Data Science,  RStudio, Books In Bars"
rladies-den-bosch              ," Boook club, Hands-On Machine Learning with  ""Hands-On Machine Learning, Advanced  Chp, Chapter, “Hands-On Machine Learning, #, Chp7"
rladies-denver                 ,"R4DS, data, dplyr, Greet"
rladies-des-moines             , "Shiny, The Pig Social"
rladies-dublin                 ," Web scraping, rvest, RTÉ, Random Forests, ggplot, machine learning, Mixed effect models, Network Visualisation, Association Rules"
rladies-east-lansing           ," RStats Workshop Series, Lightning, Coffee, Co, -, work, tidymodels, the MSU Dairy Store"
rladies-edinburgh              ,"ABC,  Coding get-together, a Tidy Tuesday dataset, tidymodels, Julia Silge, RStudio, your ggplots, Nicola, The ABC"
rladies-el-paso                ,"R startup & data-wrangling tutorial, Marguerite Mauritz, First meeting"
rladies-eskisehir              ," Webinar, da CNN, CNN, R' da Veri Kazıma, İstatistiksel Analiz, ' da tm paketi ile Metin Madenciliği, R'da Renk Teorisi, Uygulamaları, '"
rladies-fayetteville           ,"Static Web Scraping, *Free Online Event, Researchers 2nd Session, Data Cleaning, Data Imputation, Researchers, Alexandria Choate, [WEBINAR] Stephanie Long, Animated Graphics, R"
rladies-florianopolis          ,"Desigualdade de gênero e cor no Mercado, Tecnologia"
rladies-fortaleza              ,"Git, GitHub, Introdução, RStudio"
rladies-frankfurt              ," #, gitkraken, messy data, insightful visualizations, #9: Workflows, reproducible analyses, Christmas meetup, git, github"
rladies-freiburg               ," your R skills, messy data, beautiful plot, Shiny, -, your ggplot, Studio, Modeling"
rladies-gaborone               ," RStudio, Excel, R Data Analysis, Medical Science, Sentiment Analysis, Reproducible Research, R markdown, An introduction"
rladies-gainesville            ," Tidy Tuesday, Data Science, R Markdown, Data Visualization, RStudio, learnr, RMarkdown, Tidy Friday"
rladies-galapagos-islands      ,"Ciencia de Datos, Sesión, Club de lectura   datos, Club de lectura ""Efficient R Programming, a programar, Expresiones, la limpieza, transformación"
rladies-general-pico           ,"GIT, tutoriales, interactivos, el paquete learnr, al ABC, ABC, Predictive modeling, text, tidy data principles"
rladies-glasgow                ,"An UI/UX, Shiny, Simulation, faux, Data, Base R"
rladies-goiania                ," Introdução, RStudio, Universo Tidyverse, Dados, Git, GitHub, DPLYR, Mês, Aplicações"
rladies-goteborg               ,"RMarkdown, R Basic, Graphs, Data reporting, novice, master, R Fika, Informal, talk, Introduction"
rladies-gottingen              ,
rladies-guadalajara            ,"datos, Cypress, Análisis de Redes Sociales con  Google Colab, Twitter, Visualización, las violencias, las mujeres, México, las apps"
rladies-guayaquil              ," a RStudio, Ciencia de Datos, Club, Sesión, redes, Sfnetworks, Ecuador, Paquete 'survey"
rladies-helsinki               ,"Data Talks, Happy IWD, Webinar, Tidyverse, RMarkdown, ggplot2,  Data Manipulation, dplyr, Episode"
rladies-highland-park          ,"R Hacky Hour, An evening, Jenny Bryan, Happy Hour, Tidy Tuesday, Data Play, /Tips, Tricks, July Meetup, TidyTuesday"
rladies-iowa-city              ,"ggplot2, Data Visualization, Semester Kick-Off, Basics, Big Data, R"
rladies-irvine                 ," SoCal RUG, COVID-19, Data Science Career Panel, RStudio, ggplot2, R Packages, Easy Mode, Cross, -"
rladies-istanbul               ," Webinar Serisi, Açılışı, R Başlangıç Eğitimi, Ocak Etkinliği, Aralık Etkinliği, Kasım Etkinliği, Dünya Kadınlar Günü Etkinliği - Data Talks, ile, Şubat Etkinliği"
rladies-jakarta                ," RMarkdown, Visualization, dplyr, 18-th Meetup, Data Science Workflow Essentials, A Practical Demonstration, 13th Meetup"
rladies-johannesburg           ," R Markdown, workflowr, treeheatr, Shiny, Auth0, reproducible code, May meetup"
rladies-jujuy                  ,"año, primer meetup"
rladies-kansas-city            ,"Tidy ThuRsday, Your First R Shiny App, KC"
rladies-kathmandu              ,"Data, 4 days workshop, Unsupervised learning, K, clustering, Data Analysis, Beginners, Data Science, [Workshop, Your Journey"
rladies-kyiv                   ,"Data Science Study Group, Apache Flink,  Data streaming, your startup, Facebook Open Source, Facebook, Regression analysis, Cluster Analysis, Basic Concepts"
rladies-la                     ,"Advanced R Book Club Part, Advanced R Book Club,  useR2020 Tutorial, ""Causal Inference, useR2020, Data Visualization, Metaprogramming, Object Oriented Programming, Git"
rladies-la-paz                 ," Study Group -  Ciencia de Datos, [Sesión, Datos, Sesión, ' Reportes, Dashboards, Bolivia"
rladies-la-plata               ,"Primeros, R"
rladies-lagos                  ," Generative AI, R Programmers, Hacknosis, Patient Experiences, animated data, Data Mining, satRday Lagos, The Launch"
rladies-lancaster              ,"ggplot2, Exploratory Data Analysis, Shiny, R Markdown, tips, the RStudio Conference, Dates, times, lubridate"
rladies-lausanne               ,"ThundeR,  R Markdown, Shiny, your data science workflow, the tidyverse, Statistical inference, the tidyverse framework, the Infer package, Infer"
rladies-lavras                 ,"RMarkdown, GitHub,  PLN, Apresentações, Introdução, aplicações, [MeetUp Online] Word2vec"
rladies-ldnont                 ," RStudio, RMarkdown, Lightning, Bookdown, Data Cleaning, Exploration, Data Visualization, R programming"
rladies-leuven                 ,
rladies-lexington-park         ,"R4 Data Science Study Group, the tidyverse, Github, Lexington Park"
rladies-lima                   ," Mastering Shiny""-, Shiny""-, Tidymodels, Mastering Shiny""- Sesión, Workshop, Modelos de Machine Learning, estudio, Evento, de cierre"
rladies-ljubljana              ,"DELAVNICA, Mešano, Organizacija,  the first time"
rladies-london                 ," GitHub, REMOTE, R Lightening Talks, London, Absolute R Beginners, ARIMA, Bioinformatics, Data Science, Shiny Dashboard Workshop"
rladies-loughborough           ," Ada Lovelace Day, Statistics, groups, tidy data, R"
rladies-louisville             ,
rladies-lviv                   ,"NASA, Webinar, NASA SpaceApps Challenge, A Tour, NASA’s Data Universe, GraphXR, the Gist, GIS, Natasha Stamler"
rladies-lyon                   ,"episode, dplyr, the rise, the vctrs, Reflections, an R Lady, the Untidyverse, Cancer Research, cancer research"
rladies-madrid                 ," Taller, Happy Birthday, Global Graph Celebration Day, Flexdashboards, RStudio, nuevos objetivos, OSWeekends, -Ladies"
rladies-manchester             ," N, Brown, Gravitas, The Federation, Thoughtworks, Autotrader, R over Coffee, - Career Pathways Panel, -"
rladies-masqat                 ,"RStudio, My Stat1 Project, R programming Language, R Language"
rladies-medellin               ,"Club de Lectura del libro, “Efficient R programming,  datos, confiabilidad, alto riesgo, al Aprendizaje no Supervisado, Machine Learning, Modelos"
rladies-melbourne              ," R Markdown, EVENTBRITE, R workshop, ggplot2, AI Ethics Workshop, Blogdown, Year, Data, statistics"
rladies-mendoza                ,  datos, Rmarkdown, FLISOL, ciencia, la confección, informes, Quarto, ggplot2"
rladies-miami                  ," Data Science, North America, IBM, pmlbr, RStudio, Women, Data Science Conference, Women in Data Science Conference, International Women's Day"
rladies-mid-mo                 ,"Workshop, Lightning Talk, July 2021 Coder_RLadies Meeting, September Lightning Talk, Lightning, R Studio,  RStudio"
rladies-milagro                ," Ciencia de Datos, Taller, Estadística Descriptiva, Taller de Estadística Descriptiva, ciencia, que, la magia, los números, la verdad"
rladies-milan                  ,"Data Science,  Oliver Wyman Data & Analytics Team, partnership, [Workshop, Twitter, LinkedIn, SheTech, #Tidytuesday workshop, GENERALI"
rladies-monterrey              ,"DATA MEXICO, El movimiento, spatial and spatiotemporal data cubes, presentaciones, Xaringan, una reunión, RLadiesMty, Webinar, Modelos, Simulación"
rladies-montevideo             ,"datos,  ggplot2, año, GURU, un proyecto, ¡Encuentro: primeros pasos, el análisis, Watch party, RStudio::conf"
rladies-montpellier            ," Maëlle Salmon, Lightning, my life, edition, Lightning Talks, your code, an R package, Gold star reproducibility, Saras Windecker"
rladies-montreal               ,"TBC,  dplyr, topic, "" -, omics, bioinformatics, data wrangling"
rladies-morelia                ,"Encuentro Nacional, MEXICO, ., Ciencias Matemáticas, Primera reunión, organización, temas, tercera sesión, mujeres, bases"
rladies-mumbai                 ,"R Interface, Python, the reticulate package, the 'Highcharts' visual, R"
rladies-nairobi                ," Data Manipulation, #rstats hangout, Shannon Pileggi, #30DayChartChallenge, Nicola's Experience, the R4DS Online Learning Community, Job hunting, Data Analysts"
rladies-nashville              ," Shiny, RStudio, purrr, The Future, Package Development, Supply Chain Analytics, Data Science Workflows, Tidyverse Data Management"
rladies-natal                  ,"Introdução, RMarkdown,  Regressão Linear, redes, R Markdown, ANOVA DE UMA VIA, Análise, Dados Hidrológicos no  R do Zero"
rladies-new-delhi              ,"M&S Research Hub, [Virtual] [Virtual] Women, Data Science, WiDS Delhi, AutoEncoders, Quantum Computing, [Virtual] Data Science, Entertainment Industry, Application"
rladies-new-orleans            ,"Your Package, Data Visualization, R"
rladies-newcastle              ,"Panel session, meetup, March meetup - data wrangling, the tidyverse, tidyverse, yearly roundup, November meetup, THE PURDUR EDIT, October meetup, September meetup"
rladies-newyork                ," Data, Year, our team, data, [Online event, Speakers, COVID-19, Workshop, Women"
rladies-nijmegen               ,"All levels, Advanced R Chapter,  your code, best coding practices, your data, GAMs, eye-tracking data, reproducible science, R Shiny workshop"
rladies-niteroi                ,"hero, Introdução, pacote Dplyr, Dplyr, Mulheres, Estatística, Computação, VII Meetup  Ladies Niterói, introdução"
rladies-novi-sad               ,"Meetup #, u, -, Vizualizacija, Kako, izgleda radni, jednog Data Analyst - a, Zavirimo, u svet Data Science, zajedno"
rladies-orlando                ,"dplyr, R Beginner series, R Beginner, ggplot2,  dplyr II, Women, Data Science, Data Transformation"
rladies-oslo                   ,"dplyr, Aurora, [Postponed] Statistrikk: Hard facts, soft materials, Reports, your boss, Rmarkdown magic, Recap, rstudio::conf, San Francisco"
rladies-ottawa                 ,"Tidy Tuesday October Zoom Event, Tidy Tuesday September Event"
rladies-oxford-ohio            ,"Your Data, R Packages, The Gifts, A Journey,  Meeting"
rladies-paris                  ," Retour d'Expériences en Science des Données, Party Francophone, Workshop, {package, Marion Louveaux, a resilient R user, ggplot2, RMarkdown"
rladies-pasadena               ," a Personal Website, Blogdown, R packages, The Hood, R Under The Hood, some Shiny"
rladies-pdx                    ,"South Waterfront Study Group,  AI, Tricks, RStudio Show+Tell, R + Databases, Data Visualization Tips, Co, Deep Learning, the FUN"
rladies-perth                  ," Book Club, Data Science, Data Science Week, Reproducible Research, One Year, Ladies, Perth, Seminar, Professor Inge Koch"
rladies-philly                 ," 2020 Data Hack, Coffee, Hack Night, Code, Code & Coffee, ISLR Tidymodels Lab, Data Visualization, TidyTuesday"
rladies-podgorica              ,
rladies-porto-alegre           ,"Meetup, R"
rladies-puebla                 ," datos, Netflix, Club de Lectura, Usando, R y Python, SagemakeR, Machine Learning, Análisis de Redes, Dra. María Ramos"
rladies-pune                   ,"Meetup, PyData Pune,  [ONLINE] Meetup, Lightning Talks, [Online] useR2020! Tutorial, Predictive modeling, text- tidy data principles, [Online] useR!2020 Tutorial, A ggplot2 crash course"
rladies-queretaro              ," Shiny, Github, RStudio, México, Programadoras Mexicanas, Aprende ggplot2, Blogdown, blogs, R Markdown"
rladies-quito                  ," Ecuador, -Ladies Quito, Sociedad Ecuatoriana de Estadística, limpieza, RLadiesQuito, Club, la minería, datos"
rladies-rabat                  ," data, actionable insights, Scratch, basics"
rladies-rabat-ma               ,purrr
