Chapter,Top Words
rladies-resistencia-corrientes,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-rio,"rmarkdown, zero, international, rstudio, 3º, 2º, user, day, night, september"
rladies-rtp,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-salvador,"panel, el, virtual, ciencia, tutorial, learnr, paquete, group, day, invita"
rladies-san-jose,"paquete, dplyr, 3º, event, introducción, studio, day, march, launch, club"
rladies-sancristobal,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-santa-rosa,"panel, el, virtual, ciencia, tutorial, learnr, paquete, group, day, invita"
rladies-sao-paulo,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-seattle,"package, summer, des, party, 2020, social, talks, series, lightning, open"
rladies-stockholm,"package, summer, des, party, 2020, social, talks, series, lightning, open"
rladies-strasbourg,"package, summer, des, party, 2020, social, talks, series, lightning, open"
rladies-talca,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-tc,"2021, monthly, conference, la, exploratory, rmarkdown, post, encuentro, anual, website"
rladies-thessaloniki,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-tijuana,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-urmia,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-ushuaia,"rstudio, programming, tidy, tech, project, introducción, markdown, ggplot2, user, network"
rladies-valparaiso,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-vancouver,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-vienna,"nasa, del, club, book, tutorial, study, shiny, user, libro, ggplot2"
rladies-vitoria,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-wageningen,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-wellington,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-xalapa,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-zurich,"rmarkdown, zero, international, rstudio, 3º, 2º, user, day, night, september"
rladiesnyc,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
